valid_year,base_model,calibration,target_rate_estimator,mean_matching,strategy,parameter,cap_type,cap_value,target_rate,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.005,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24927898050533281,-0.0001153725590111454,0.0,0.5270321833777261,0.6917047095149852,0.511638933150934,0.004352126879800119
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.005,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506773008944996,-0.0006773027233878126,0.0,0.5127834828691704,0.6945038415459621,0.5275850610119237,0.004605832319781688
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.005,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497621232805062,4.4803476281773946e-05,17.935241773897893,0.5107224540471663,0.6926712984537644,0.487390403313669,0.0034088400935233633
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.005,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24928226999580405,-0.00011866204948238201,0.0,0.5324856858143385,0.6917112990770331,0.5116131072633653,0.004088314710388116
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.005,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506765414962377,-0.0006765433251259279,0.0,0.5154686130873545,0.6945023025169829,0.5275759288147261,0.004436912535114766
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.005,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976731607008623,3.96106867017465e-05,15.856520560100988,0.5106875170195614,0.6926816942729473,0.4874479295545691,0.003028699484716402
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.0075,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24920201115810328,-3.8403211781612434e-05,0.0,0.5288200147545663,0.6915506114259283,0.5116508331361228,0.006062784947985528
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.0075,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25064549640940637,-0.0006454982382946006,0.0,0.5134549727557743,0.6944403235128642,0.5275029349864275,0.00662648886019022
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.0075,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24975414692464662,5.277983214135862e-05,21.128250055589955,0.5107204514673495,0.6926553122871495,0.4873722168672993,0.004278261232453652
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.0075,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24920877487540802,-4.5166929086348784e-05,0.0,0.5324856858143385,0.6915641654142027,0.5116245292502627,0.005568419692270752
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.0075,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25064384933218303,-0.0006438511610712683,0.0,0.5154708675715451,0.694436971169987,0.5275059683408037,0.006288990944727514
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,soft_cap,0.0075,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976254963883657,4.437711795141075e-05,17.764566630538756,0.5106875170195614,0.692672138124403,0.48745624221969597,0.003764576421816845
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.01,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24913261434013145,3.099360619021607e-05,12.439058193800577,0.5302391563270946,0.6914116426924244,0.5116480499632801,0.007525372923623199
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,hard_cap,0.01,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506194275714443,-0.0006194294003325218,0.0,0.5142235336257541,0.6943883821109577,0.5274250607193334,0.00848564606910149
