strategy,parameter,cap_type,cap_value,mean_brier,worst_brier,mean_pseudo_score,positive_fold_count,mean_skill_margin,worst_skill_margin,mean_pred_std,mean_auc,brier_2022,brier_2023,brier_2024,pseudo_2022,pseudo_2023,pseudo_2024,skill_2022,skill_2023,skill_2024,pred_std_2024,ready_like,selection_note
temperature,2.1,hard_cap,0.01,0.2498353430059117,0.2506203366367669,11.331924134332764,2,-0.00017849871450457502,-0.0006203384656551514,0.0070479162049631285,0.5182846608862581,0.24913205300269936,0.2506203366367669,0.24975363937826886,12.66434688532299,0.0,21.3314255176753,3.1554943622308373e-05,-0.0006203384656551514,5.328737851911791e-05,0.004973054429766601,True,Candidate B - higher expected 2024 score
shrink,0.475,hard_cap,0.01,0.24983609718703928,0.25062255685520235,11.326313988735336,2,-0.00017925289563215188,-0.000622558684090585,0.007042818469983986,0.5183034409369156,0.2491319440329689,0.25062255685520235,0.24975379067294662,12.708081093283543,0.0,21.27086087292247,3.1663913352769635e-05,-0.000622558684090585,5.3136083841359705e-05,0.004964759467663038,True,
temperature,2.2,hard_cap,0.01,0.24983600459325997,0.2506194275714443,10.945588878071717,2,-0.00017916030185283205,-0.0006194294003325218,0.006948502863417238,0.5183767738375775,0.24913261434013145,0.2506194275714443,0.24975597186820417,12.439058193800577,0.0,20.397708440414572,3.099360619021607e-05,-0.0006194294003325218,5.095488858380959e-05,0.004834489597527025,True,
shrink,0.45,hard_cap,0.01,0.24983691298221392,0.2506216136256092,10.873647152855767,2,-0.00018006869080678758,-0.0006216154544974317,0.006926973831602623,0.5183923385147654,0.24913262733107805,0.2506216136256092,0.24975649798995453,12.433844371965474,0.0,20.187097086601824,3.0980615243619836e-05,-0.0006216154544974317,5.04287668334491e-05,0.004803840084196079,True,
temperature,2.3,hard_cap,0.01,0.24983671121298476,0.25061863253698574,10.556398861173287,2,-0.00017986692157759276,-0.0006186343658739768,0.006852315844864921,0.518499646304415,0.24913330267796616,0.25061863253698574,0.2497581984240023,12.16279881532359,0.0,19.50639776819627,3.0305268355512727e-05,-0.0006186343658739768,4.872833278568578e-05,0.0047033340516188914,True,
temperature,2.1,hard_cap,0.0125,0.24980954069306338,0.25060010318673037,18.982614686745496,2,-0.000152696401656253,-0.0006001050156186072,0.008199234391690615,0.5187018791992795,0.24906916307867016,0.25060010318673037,0.24975935581378964,37.90476002091442,0.0,19.043084039322068,9.444486765150528e-05,-0.0006001050156186072,4.757094299834286e-05,0.005403236790826003,True,
shrink,0.475,hard_cap,0.0125,0.24981045626106532,0.2506027386221502,18.967785668173647,2,-0.00015361196965815727,-0.0006027404510384471,0.00819180421840126,0.5187091451270459,0.24906911007952798,0.2506027386221502,0.2497595200815177,37.926030840767645,0.0,18.9773261637533,9.449786679369132e-05,-0.0006027404510384471,4.740667527028397e-05,0.005393124751120599,True,
temperature,2.1,soft_cap,0.01,0.24984127987651036,0.25061851587498957,8.708005622920988,2,-0.00018443558510322644,-0.0006185177038778022,0.0064303917241400705,0.5195480238223708,0.2491447633480617,0.25061851587498957,0.24976056040647981,7.5631423125078525,0.0,18.560874556255108,1.8844598259959433e-05,-0.0006185177038778022,4.6366350308163495e-05,0.004389929759238351,True,
shrink,0.475,soft_cap,0.01,0.24984202789077256,0.25062060480077913,8.687288980150683,2,-0.00018518359936540532,-0.0006206066296673696,0.006424247305018198,0.5195480238223708,0.24914481673053995,0.25062060480077913,0.24976066214099854,7.541717643518921,0.0,18.520149296933127,1.8791215781716053e-05,-0.0006206066296673696,4.6264615789437524e-05,0.004382627531833383,True,
temperature,2.1,soft_cap,0.0125,0.24981764666219766,0.25059929306234147,15.62172129431021,2,-0.0001608023707905156,-0.0005992948912297014,0.00740091822766415,0.5195480238223708,0.2490920924682996,0.25059929306234147,0.24976155445595188,28.702216431810324,0.0,18.16294745112031,7.15154780220606e-05,-0.0005992948912297014,4.5372300836094004e-05,0.004774709080715276,True,
