season,game_type,n,control_success_rate,year_share,global_rate,diff_from_global,yoy_rate_change
2019,F,25786,0.6892499806096332,0.10861241802260196,0.5646700054335694,0.12457997517606378,
2020,F,23213,0.5877740921035627,0.0951013368184295,0.5327116970588356,0.0550623950447271,-0.10147588850607048
2021,F,25861,0.7038397587100267,0.10466311597487535,0.5327616072006734,0.17107815150935324,0.116065666606464
2022,F,30448,0.7087493431424067,0.12303614146246848,0.5289204435249241,0.1798288996174826,0.0049095844323799875
2023,F,25686,0.47290352721326795,0.10461663781692292,0.49995723449750534,-0.027053707284237394,-0.23584581592913872
2024,F,30010,0.45928023992002664,0.11837937413957011,0.4861049201797189,-0.026824680259692257,-0.013623287293241304
2019,R,211627,0.5494903769367803,0.8913875819773981,0.5646700054335694,-0.01517962849678911,
2020,R,220874,0.5269248530836586,0.9048986631815705,0.5327116970588356,-0.005786843975177036,-0.022565523853121716
2021,R,221227,0.5127629086865527,0.8953368840251247,0.5327616072006734,-0.019998698514120727,-0.01416194439710583
2022,R,217024,0.5036908360365674,0.8769638585375316,0.5289204435249241,-0.025229607488356676,-0.00907207264998533
2023,R,219839,0.5031181910398064,0.8953833621830771,0.49995723449750534,0.00316095654230103,-0.0005726449967610181
2024,R,223497,0.4897067969592433,0.8816206258604299,0.4861049201797189,0.0036018767795243933,-0.013411394080563077
