group_name,space,lambda,mean_brier,std_brier,max_brier,mean_delta_vs_current,max_delta_vs_current,min_delta_vs_current,folds_improved
game_type,prob,3000,0.24971296503363116,0.004944836687138315,0.2546860915274971,-1.1498124636873571e-05,0.004480281198236791,-0.004324634739145711,2
game_type,logit,3000,0.24973641190806714,0.0049828164680741785,0.2547589698927969,1.1948749799095548e-05,0.00455315956353658,-0.0043272356035894965,2
count_state,logit,3000,0.24981298841066432,0.0008254945501236071,0.2506899107030957,8.852525239629501e-05,0.0004841003738353944,-0.0001479361862035955,2
count_state,prob,3000,0.24981354281468948,0.000826341949442216,0.2506915518159164,8.907965642146465e-05,0.0004857414866560883,-0.00014797236233948796,2
count_state,logit,1000,0.24983749992306906,0.0008325861515420133,0.250732336181293,0.00011303676480102036,0.0005265258520326666,-0.00015156452322559466,2
count_state,prob,1000,0.24983822585080942,0.0008334680710560484,0.2507342222717516,0.00011376269254139333,0.0005284119424912581,-0.0001515647719923796,2
count_state,logit,500,0.24984513591786525,0.0008340218385599509,0.2507441962913808,0.0001206727595971883,0.000538385962120469,-0.00015149458159860463,2
count_state,prob,500,0.24984591964739566,0.0008349093121977633,0.2507461551843801,0.00012145648912762856,0.0005403448551197787,-0.00015147363829989824,2
count_state,logit,300,0.24984842443438027,0.0008345227521611029,0.2507490944507434,0.00012396127611223143,0.0005432841214830786,-0.00015125543422489507,2
count_state,prob,300,0.24984923372291024,0.0008354117751805836,0.2507510840362461,0.00012477056464221814,0.0005452737069857605,-0.00015122345546650373,2
count_state,logit,100,0.24985186804360707,0.0008349689507368275,0.2507540824873339,0.00012740488533905894,0.0005482721580735705,-0.0001508567316778897,2
count_state,prob,100,0.24985270453884764,0.0008358590163242419,0.250756103728452,0.00012824138057958753,0.0005502933991916592,-0.00015081179815848444,2
count_state,logit,50,0.24985275530049422,0.0008350706496808285,0.2507553436319504,0.00012829214222619587,0.0005495333026900862,-0.0001507280286459911,2
count_state,prob,50,0.2498535988805061,0.0008359608838577977,0.2507573729428956,0.0001291357222380866,0.0005515626136352592,-0.00015067950765179638,2
balls,logit,3000,0.24985425844678114,0.0008298622671770248,0.250742221640963,0.0001297952885131274,0.0005364113117026781,-0.00012380596366748375,2
