feature,importance,alpha,feature_set,valid_year
season,1.3514440172041964,20,baseline,2022
game_month,1.002547433685163,20,baseline,2022
game_dayofweek,0.061356938952134746,20,baseline,2022
inning,0.09839075437845791,20,baseline,2022
balls_before,0.6517880414544477,20,baseline,2022
strikes_before,0.13356979378559952,20,baseline,2022
outs_before,0.05379305144068115,20,baseline,2022
run_top_before,0.22311041185266509,20,baseline,2022
run_bot_before,0.09721298216965785,20,baseline,2022
run_total_before,0.19852735557300247,20,baseline,2022
score_diff_home,0.1327857782347884,20,baseline,2022
score_diff_pitcher_team,0.22629453326763896,20,baseline,2022
runner_on_1b,0.0,20,baseline,2022
runner_on_2b,0.0,20,baseline,2022
runner_on_3b,0.7122879278506604,20,baseline,2022
num_runners_on,0.5229299747924332,20,baseline,2022
home_win_expectancy,0.1198784463757419,20,baseline,2022
away_win_expectancy,0.14902947139053555,20,baseline,2022
li,0.21848336696656334,20,baseline,2022
pitcher_hand,0.0,20,baseline,2022
batter_hand,0.0,20,baseline,2022
pitcher_team_id,0.12956968718430686,20,baseline,2022
batter_team_id,0.06519767841411594,20,baseline,2022
asof_pitcher_n,0.8887532671268571,20,baseline,2022
asof_pitcher_success_rate,0.9137877747285422,20,baseline,2022
asof_pitcher_reverse_rate,0.6117527836829372,20,baseline,2022
asof_pitcher_middle_rate,0.39231920278014026,20,baseline,2022
asof_pitcher_ball_rate,0.1267519901907001,20,baseline,2022
asof_pitcher_strike_rate,0.21367785204563172,20,baseline,2022
asof_pitcher_prev1_game_success_rate,0.25506393647525827,20,baseline,2022
asof_pitcher_prev3_game_success_rate,0.09912387242248454,20,baseline,2022
asof_pitcher_prev5_game_success_rate,0.3006991637961313,20,baseline,2022
asof_pitcher_prev1_game_middle_rate,0.15628041699045653,20,baseline,2022
asof_pitcher_prev3_game_middle_rate,0.17524058108326623,20,baseline,2022
asof_pitcher_prev5_game_middle_rate,0.16977375041951442,20,baseline,2022
asof_batter_n,0.2108100353400521,20,baseline,2022
asof_batter_success_rate,0.7755189936137077,20,baseline,2022
asof_batter_middle_rate,0.0649816943335368,20,baseline,2022
asof_pitcher_pitchmix_n,1.0121731821435747,20,baseline,2022
asof_pitcher_fastball_rate,0.13648731439199663,20,baseline,2022
asof_pitcher_breaking_rate,0.07142343851706931,20,baseline,2022
asof_pitcher_offspeed_rate,0.08199693723343984,20,baseline,2022
top_bottom_code,0.0,20,baseline,2022
game_type_code,1.821693810790356,20,baseline,2022
base_state_code,1.4845693887821856,20,baseline,2022
pitcher_id_code,1.1537179932438428,20,baseline,2022
batter_id_code,0.24841261647355553,20,baseline,2022
count_index,0.5116735550921034,20,baseline,2022
two_strike,0.0,20,baseline,2022
three_ball,0.0,20,baseline,2022
full_count,0.0,20,baseline,2022
pitcher_count,0.05052739751841624,20,baseline,2022
hitter_count,0.08525106613060508,20,baseline,2022
even_count,0.03459579068889477,20,baseline,2022
runner_on,0.024941230439965146,20,baseline,2022
scoring_position,0.30245537751269574,20,baseline,2022
abs_score_diff_pitcher_team,0.42235361136186955,20,baseline,2022
pitcher_team_leading,0.0,20,baseline,2022
pitcher_team_trailing,0.05771853758307788,20,baseline,2022
late_inning,0.0,20,baseline,2022
te_pitcher_id,3.756174734051901,20,baseline,2022
te_pitcher_id_delta,4.289675815623892,20,baseline,2022
te_batter_id,0.2324205879840141,20,baseline,2022
te_batter_id_delta,0.4555645500262236,20,baseline,2022
te_pitcher_team_id,0.4399549900727046,20,baseline,2022
te_pitcher_team_id_delta,0.41943594795348393,20,baseline,2022
te_batter_team_id,2.1496872331484465,20,baseline,2022
te_batter_team_id_delta,1.2401816348918857,20,baseline,2022
te_game_type,0.37019904664076,20,baseline,2022
te_game_type_delta,1.1385105514366527,20,baseline,2022
te_season,0.5945652773347705,20,baseline,2022
te_season_delta,1.109046775713636,20,baseline,2022
te_pitcher_id__balls_before__strikes_before,8.355481555949165,20,baseline,2022
te_pitcher_id__balls_before__strikes_before_delta,14.561772357971087,20,baseline,2022
te_pitcher_id__batter_hand,1.6998114092398067,20,baseline,2022
te_pitcher_id__batter_hand_delta,1.6840872757248344,20,baseline,2022
te_pitcher_id__base_state,5.117511866462933,20,baseline,2022
te_pitcher_id__base_state_delta,7.242098451754883,20,baseline,2022
te_pitcher_id__game_type,6.275728200933284,20,baseline,2022
te_pitcher_id__game_type_delta,3.2418989224133066,20,baseline,2022
te_batter_id__pitcher_hand,5.53961499170985,20,baseline,2022
te_batter_id__pitcher_hand_delta,4.586701743806705,20,baseline,2022
te_balls_before__strikes_before,0.308531594239856,20,baseline,2022
te_balls_before__strikes_before_delta,0.3606334901290234,20,baseline,2022
te_balls_before__strikes_before__game_type,1.4463620646094941,20,baseline,2022
te_balls_before__strikes_before__game_type_delta,1.5982844283821942,20,baseline,2022
te_pitcher_hand__batter_hand,0.13902402707764167,20,baseline,2022
te_pitcher_hand__batter_hand_delta,0.19776698227013348,20,baseline,2022
te_base_state__outs_before,0.21782529888186283,20,baseline,2022
te_base_state__outs_before_delta,0.38310116351510765,20,baseline,2022
asof_pitcher_success_minus_global,0.9063979086106236,20,baseline,2022
asof_batter_success_minus_global,0.267197155468606,20,baseline,2022
pitcher_success_x_two_strike,0.21618761599476152,20,baseline,2022
pitcher_success_x_runner_on,0.21097506183677012,20,baseline,2022
pitcher_fastball_x_hitter_count,0.244865080234011,20,baseline,2022
season,1.1619669693345915,20,pitcher_abs,2022
game_month,0.7701506047872744,20,pitcher_abs,2022
game_dayofweek,0.026114178134165653,20,pitcher_abs,2022
inning,0.1339752126229907,20,pitcher_abs,2022
balls_before,0.2133659815445953,20,pitcher_abs,2022
strikes_before,0.2326725723657624,20,pitcher_abs,2022
outs_before,0.06113149146796835,20,pitcher_abs,2022
run_top_before,0.13930416901819423,20,pitcher_abs,2022
run_bot_before,0.0785956504455596,20,pitcher_abs,2022
run_total_before,0.23271536669828582,20,pitcher_abs,2022
score_diff_home,0.17454282942688445,20,pitcher_abs,2022
score_diff_pitcher_team,0.07428025720927911,20,pitcher_abs,2022
runner_on_1b,0.0,20,pitcher_abs,2022
runner_on_2b,0.0,20,pitcher_abs,2022
runner_on_3b,0.7680105510550711,20,pitcher_abs,2022
num_runners_on,0.26238465461261723,20,pitcher_abs,2022
home_win_expectancy,0.13248001953595745,20,pitcher_abs,2022
away_win_expectancy,0.15250916705748857,20,pitcher_abs,2022
li,0.24164510567012953,20,pitcher_abs,2022
pitcher_hand,0.06721676172477513,20,pitcher_abs,2022
batter_hand,0.027351423806279182,20,pitcher_abs,2022
pitcher_team_id,0.17312180353684517,20,pitcher_abs,2022
batter_team_id,0.0,20,pitcher_abs,2022
asof_pitcher_n,0.8171114259600767,20,pitcher_abs,2022
asof_pitcher_success_rate,0.3732161607794264,20,pitcher_abs,2022
asof_pitcher_reverse_rate,0.566967960612092,20,pitcher_abs,2022
asof_pitcher_middle_rate,0.38516435983311925,20,pitcher_abs,2022
asof_pitcher_ball_rate,0.1646508280991526,20,pitcher_abs,2022
asof_pitcher_strike_rate,0.3629175185489528,20,pitcher_abs,2022
asof_pitcher_prev1_game_success_rate,0.25907600876439063,20,pitcher_abs,2022
asof_pitcher_prev3_game_success_rate,0.14180363203894109,20,pitcher_abs,2022
asof_pitcher_prev5_game_success_rate,0.3385962482093548,20,pitcher_abs,2022
asof_pitcher_prev1_game_middle_rate,0.04994102653367299,20,pitcher_abs,2022
asof_pitcher_prev3_game_middle_rate,0.15436345742068192,20,pitcher_abs,2022
asof_pitcher_prev5_game_middle_rate,0.31882529151317185,20,pitcher_abs,2022
asof_batter_n,0.3244192169226249,20,pitcher_abs,2022
asof_batter_success_rate,0.519014402296521,20,pitcher_abs,2022
asof_batter_middle_rate,0.1572061844833609,20,pitcher_abs,2022
asof_pitcher_pitchmix_n,0.8584740611429129,20,pitcher_abs,2022
asof_pitcher_fastball_rate,0.0824560388501333,20,pitcher_abs,2022
asof_pitcher_breaking_rate,0.106849533123482,20,pitcher_abs,2022
asof_pitcher_offspeed_rate,0.0,20,pitcher_abs,2022
hs_pitcher_n,0.4295312154335214,20,pitcher_abs,2022
hs_pitcher_rate,1.0270959818950025,20,pitcher_abs,2022
top_bottom_code,0.0,20,pitcher_abs,2022
game_type_code,1.503764292702359,20,pitcher_abs,2022
base_state_code,1.2045375882359073,20,pitcher_abs,2022
pitcher_id_code,0.6064944335216531,20,pitcher_abs,2022
batter_id_code,0.22292714711469452,20,pitcher_abs,2022
count_index,0.5471190742570075,20,pitcher_abs,2022
two_strike,0.01648534714085207,20,pitcher_abs,2022
three_ball,0.034848730451244946,20,pitcher_abs,2022
full_count,0.0,20,pitcher_abs,2022
pitcher_count,0.06179194862560139,20,pitcher_abs,2022
hitter_count,0.13365994145606552,20,pitcher_abs,2022
even_count,0.0,20,pitcher_abs,2022
runner_on,0.1435667714906226,20,pitcher_abs,2022
scoring_position,0.43784494782416916,20,pitcher_abs,2022
abs_score_diff_pitcher_team,0.3329844218078828,20,pitcher_abs,2022
pitcher_team_leading,0.0,20,pitcher_abs,2022
pitcher_team_trailing,0.02410895720460747,20,pitcher_abs,2022
late_inning,0.06286020511145687,20,pitcher_abs,2022
te_pitcher_id,3.6960345478421646,20,pitcher_abs,2022
te_pitcher_id_delta,4.590819973516134,20,pitcher_abs,2022
te_batter_id,0.7176961396398598,20,pitcher_abs,2022
te_batter_id_delta,0.26284292902063505,20,pitcher_abs,2022
te_pitcher_team_id,0.43380016720640446,20,pitcher_abs,2022
te_pitcher_team_id_delta,0.46023399422952216,20,pitcher_abs,2022
