feature,importance,alpha,feature_set,valid_year,experiment
season,1.1399658535891852,20,combo_core,2022,alpha_grid
game_month,1.3268958354263092,20,combo_core,2022,alpha_grid
game_dayofweek,0.0184866964828428,20,combo_core,2022,alpha_grid
inning,0.0940169185169784,20,combo_core,2022,alpha_grid
balls_before,0.3186925461533547,20,combo_core,2022,alpha_grid
strikes_before,0.1804998883072739,20,combo_core,2022,alpha_grid
outs_before,0.0242251962317215,20,combo_core,2022,alpha_grid
run_top_before,0.0704391568502631,20,combo_core,2022,alpha_grid
run_bot_before,0.0169318843608761,20,combo_core,2022,alpha_grid
run_total_before,0.1548039958287416,20,combo_core,2022,alpha_grid
score_diff_home,0.1534859206603927,20,combo_core,2022,alpha_grid
score_diff_pitcher_team,0.0443354517623006,20,combo_core,2022,alpha_grid
runner_on_1b,0.0,20,combo_core,2022,alpha_grid
runner_on_2b,0.0492684293109559,20,combo_core,2022,alpha_grid
runner_on_3b,0.6473515485758632,20,combo_core,2022,alpha_grid
num_runners_on,0.1039588724411116,20,combo_core,2022,alpha_grid
home_win_expectancy,0.072708302461204,20,combo_core,2022,alpha_grid
away_win_expectancy,0.0839919768867297,20,combo_core,2022,alpha_grid
li,0.1474707894312946,20,combo_core,2022,alpha_grid
pitcher_hand,0.0,20,combo_core,2022,alpha_grid
batter_hand,0.0,20,combo_core,2022,alpha_grid
pitcher_team_id,0.0372398593633124,20,combo_core,2022,alpha_grid
batter_team_id,0.0828095536685661,20,combo_core,2022,alpha_grid
asof_pitcher_n,0.4381093236653245,20,combo_core,2022,alpha_grid
asof_pitcher_success_rate,0.0819891055989657,20,combo_core,2022,alpha_grid
asof_pitcher_reverse_rate,0.4305054619555746,20,combo_core,2022,alpha_grid
asof_pitcher_middle_rate,0.1783029746409459,20,combo_core,2022,alpha_grid
asof_pitcher_ball_rate,0.0824663785269506,20,combo_core,2022,alpha_grid
asof_pitcher_strike_rate,0.081099275060321,20,combo_core,2022,alpha_grid
asof_pitcher_prev1_game_success_rate,0.2056154960499612,20,combo_core,2022,alpha_grid
asof_pitcher_prev3_game_success_rate,0.055754454447083,20,combo_core,2022,alpha_grid
asof_pitcher_prev5_game_success_rate,0.0591544506843481,20,combo_core,2022,alpha_grid
asof_pitcher_prev1_game_middle_rate,0.062758218843406,20,combo_core,2022,alpha_grid
asof_pitcher_prev3_game_middle_rate,0.1009384387685571,20,combo_core,2022,alpha_grid
asof_pitcher_prev5_game_middle_rate,0.0305891167602139,20,combo_core,2022,alpha_grid
asof_batter_n,0.1561543873143603,20,combo_core,2022,alpha_grid
asof_batter_success_rate,0.421093175064804,20,combo_core,2022,alpha_grid
asof_batter_middle_rate,0.0226791651595508,20,combo_core,2022,alpha_grid
asof_pitcher_pitchmix_n,0.2001736750532816,20,combo_core,2022,alpha_grid
asof_pitcher_fastball_rate,0.0,20,combo_core,2022,alpha_grid
asof_pitcher_breaking_rate,0.0255033940343198,20,combo_core,2022,alpha_grid
asof_pitcher_offspeed_rate,0.0650553023673821,20,combo_core,2022,alpha_grid
hs_batter_logit_rel,0.0934940758224585,20,combo_core,2022,alpha_grid
hs_batter_n,0.0816767051836017,20,combo_core,2022,alpha_grid
hs_batter_rate,0.022843108490216,20,combo_core,2022,alpha_grid
hs_batter_rel,0.1738687891199836,20,combo_core,2022,alpha_grid
hs_pitcher_batter_hand_logit_rel,0.1170322919357126,20,combo_core,2022,alpha_grid
hs_pitcher_batter_hand_n,0.2506806414021835,20,combo_core,2022,alpha_grid
hs_pitcher_batter_hand_rate,0.3340795840842407,20,combo_core,2022,alpha_grid
hs_pitcher_batter_hand_rel,0.1174157836093504,20,combo_core,2022,alpha_grid
hs_pitcher_count_logit_rel,4.309049481405116,20,combo_core,2022,alpha_grid
hs_pitcher_count_n,1.145829511835703,20,combo_core,2022,alpha_grid
hs_pitcher_count_rate,4.459949215155191,20,combo_core,2022,alpha_grid
hs_pitcher_count_rel,4.022543899265087,20,combo_core,2022,alpha_grid
hs_pitcher_game_type_logit_rel,0.3534286085773205,20,combo_core,2022,alpha_grid
hs_pitcher_game_type_n,0.1585684397607453,20,combo_core,2022,alpha_grid
hs_pitcher_game_type_rate,0.1377257870367302,20,combo_core,2022,alpha_grid
hs_pitcher_game_type_rel,0.2329747886491152,20,combo_core,2022,alpha_grid
hs_pitcher_logit_rel,0.0,20,combo_core,2022,alpha_grid
hs_pitcher_n,0.3160880326795138,20,combo_core,2022,alpha_grid
