experiment,alpha,feature_set,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_auc,mean_logloss,mean_pred_std,mean_train_seconds
top_groups_alpha_grid,100,batter_env,0.24963471148560298,0.000708895066522798,0.2501467474285736,2,-2.8653059247577877e-06,0.5207332874626257,0.6924165329762434,0.008273766976258966,13.305065711339315
ablation_alpha20,20,batter_env,0.24963901991404336,0.0007357341306501842,0.2501826803422723,2,2.427041642930061e-05,0.5203791024637537,0.692425192529305,0.008379991832980833,13.613688786824545
top_groups_alpha_grid,20,batter_env,0.24963901991404336,0.0007357341306501842,0.2501826803422723,1,-7.173734365141983e-06,0.5203791024637537,0.692425192529305,0.008379991832980833,13.063061396280924
top_groups_alpha_grid,50,batter_env,0.24964299990101776,0.0006997791074405093,0.2501535784266767,2,-1.1153721339557388e-05,0.5202393978660337,0.6924331611002188,0.008252912557948433,13.287203391393026
top_groups_alpha_grid,300,pitcher_batter_hand,0.2496450847285789,0.0007179408320672892,0.2501760090212536,1,-1.3238548900673663e-05,0.5203657413533688,0.6924373221919655,0.008246944056758599,13.526103734970093
top_groups_alpha_grid,100,pitcher_batter_hand,0.24964633619214482,0.0007224358056089457,0.2501816860895872,1,-1.4490012466635468e-05,0.5204864639712632,0.692439890492463,0.0083031579000467,13.672918240229288
top_groups_alpha_grid,1000,batter_env,0.2496515010051048,0.0007016100293684483,0.2501695989409424,1,-1.9654825426559015e-05,0.5198284403834259,0.6924502184336648,0.008246625751329567,13.54078475634257
ablation_alpha20,20,pitcher_batter_hand,0.24965825217374124,0.0006919373734579224,0.2501709360115047,2,5.038156731418386e-06,0.5198261425293086,0.6924637333566944,0.008098682379854033,13.755387465159098
top_groups_alpha_grid,20,pitcher_batter_hand,0.24965825217374124,0.0006919373734579224,0.2501709360115047,1,-2.6405994063024203e-05,0.5198261425293086,0.6924637333566944,0.008098682379854033,13.211663007736206
top_groups_alpha_grid,300,batter_env,0.24966146975490947,0.000689490514267263,0.250177005574807,1,-2.9623575231257915e-05,0.5191928249502409,0.692470177674222,0.008292483324919234,13.21775515874227
ablation_alpha20,20,baseline,0.24966329033047263,0.0006726763527679289,0.2501588034603313,0,0.0,0.5195480238223708,0.6924738699684525,0.008082855367933068,12.277738889058432
ablation_alpha20,20,pitcher_rel,0.24966574359987595,0.0006529077892394748,0.2501442329179854,2,-2.4532694032815736e-06,0.5193607428050252,0.6924787910535454,0.0080456490724719,13.208695014317831
top_groups_alpha_grid,1000,pitcher_batter_hand,0.2496673928400418,0.0006895626671431117,0.2501849871320717,1,-3.554666036361306e-05,0.519156790134312,0.6924820584024095,0.008133246619926334,14.006364981333414
ablation_alpha20,20,pitcher_abs,0.2496685872193983,0.0006731485194037781,0.2501715418123137,1,-5.296888925652536e-06,0.5191706320041631,0.6924844981809418,0.0080888161025311,13.036808967590332
top_groups_alpha_grid,50,pitcher_batter_hand,0.24968182909935446,0.0006729980655733834,0.250192085584891,0,-4.998291967624654e-05,0.5182013156989201,0.692511011311206,0.008111771744101834,13.359569470087687
ablation_alpha20,20,pitcher_count,0.24972864956140062,0.000702477637889121,0.250294879301813,0,-6.535923092793312e-05,0.5136298179073108,0.6926048135155437,0.009942407108035,13.663027127583822
ablation_alpha20,20,combo_with_pitcher_batter,0.24974211084334583,0.0006759948516112996,0.2502906011161589,0,-7.882051287316109e-05,0.5129739970449679,0.6926317508537148,0.0097763543921874,14.080657720565796
ablation_alpha20,20,combo_core,0.24974807291098147,0.0006670556495875083,0.2502931454649412,0,-8.478258050880546e-05,0.5127278862831544,0.6926437193584681,0.009667343239241432,14.82129200299581
alpha_grid,20,combo_core,0.24974807291098147,0.0006670556495875083,0.2502931454649412,0,-0.00011622673130323334,0.5127278862831544,0.6926437193584681,0.009667343239241432,13.946241855621338
alpha_grid,1000,combo_core,0.24975155217218717,0.0006917372691928803,0.250319716467952,0,-0.00011970599250891073,0.5119581460340208,0.692650688422579,0.0093193088270787,14.53679887453715
alpha_grid,50,combo_core,0.24976195768413137,0.0006729906287011334,0.2503215568764065,0,-0.00013011150445316666,0.5120594961840338,0.6926714751020259,0.009871817103277966,14.441498279571533
alpha_grid,300,combo_core,0.2497714643128958,0.0006801918087820967,0.2503344324289668,0,-0.00013961813321749998,0.5108351963067402,0.6926905256785405,0.0095126862243415,14.636313756306967
alpha_grid,100,combo_core,0.2497824222475594,0.0006807748399956534,0.250357093010804,0,-0.00015057606788113333,0.5108025026688874,0.692712588009979,0.010042622321971234,14.589327573776245
