alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,improvement_vs_catboost_baseline,experiment
20,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,8.826958417892456,0.2512263356417243,0.6957856404505028,0.5197263926977913,0.5463312058012639,0.064351337942229,0.5289204435249241,0.2488975149153299,-0.0023288207263943,alpha_grid
20,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,8.826958417892456,0.249422126397104,0.6920108426790041,0.5197263926977913,0.5379588317731364,0.0413632201072112,0.5289204435249241,0.2488975149153299,-0.0005246114817741,alpha_grid
20,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.826958417892456,0.2490042244520707,0.6911539194783302,0.5197263926977913,0.5180942366918793,0.0103408050268028,0.5289204435249241,0.2488975149153299,-0.0001067095367408,alpha_grid
20,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,13.655205726623535,0.2547143294641239,0.7030644753533347,0.5109875549834433,0.5435839138831999,0.0628463883259639,0.4999572344975053,0.2501588034603313,-0.0045555260037926,alpha_grid
20,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,13.655205726623535,0.2537961684359838,0.7010975062972779,0.5109875549834433,0.5342144788121622,0.0610209636894239,0.4999572344975053,0.2501588034603313,-0.0036373649756525,alpha_grid
20,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.655205726623535,0.2502931454649412,0.6937363632536359,0.5109875549834433,0.5182783030093937,0.0152552409223559,0.4999572344975053,0.2501588034603313,-0.0001343420046099,alpha_grid
20,combo_core,2019,2022,2023,2024,raw,0.4980616077305448,19.356561422348022,0.2558924935590607,0.7056388552893936,0.5074697111682285,0.5367513030758964,0.0644216221251826,0.4861049201797189,0.2498392201633735,-0.0060532733956871,alpha_grid
20,combo_core,2019,2022,2023,2024,platt,0.4980616077305448,19.356561422348022,0.2500825160178784,0.6933130968260515,0.5074697111682285,0.5007891098590193,0.0136239350742627,0.4861049201797189,0.2498392201633735,-0.0002432958545049,alpha_grid
20,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.4980616077305448,19.356561422348022,0.2499468488159326,0.6930408753434383,0.5074697111682285,0.4987434832626635,0.0034059837685656,0.4861049201797189,0.2498392201633735,-0.000107628652559,alpha_grid
50,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.121933221817017,0.2511940853904224,0.6956916041198573,0.5187178632231176,0.5429823766130396,0.0641908778300873,0.5289204435249241,0.2488975149153299,-0.0022965704750924,alpha_grid
50,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.121933221817017,0.249507930153989,0.6921786155900358,0.5187178632231176,0.5379129433185664,0.0420622286274386,0.5289204435249241,0.2488975149153299,-0.000610415238659,alpha_grid
50,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.121933221817017,0.2490151966930977,0.691175641469451,0.5187178632231176,0.5180827645782368,0.0105155571568596,0.5289204435249241,0.2488975149153299,-0.0001176817777678,alpha_grid
50,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.60192084312439,0.2548838263568803,0.7034168825594319,0.5100022483159022,0.542791184969302,0.0638077808687775,0.4999572344975053,0.2501588034603313,-0.004725022896549,alpha_grid
50,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.60192084312439,0.254039020733145,0.7016078043615882,0.5100022483159022,0.5331226537863148,0.0627777044094422,0.4999572344975053,0.2501588034603313,-0.0038802172728137,alpha_grid
50,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.60192084312439,0.2503215568764065,0.6937933661397238,0.5100022483159022,0.5180053467529319,0.0156944261023605,0.4999572344975053,0.2501588034603313,-0.0001627534160752,alpha_grid
50,combo_core,2019,2022,2023,2024,raw,0.4980616077305448,18.600640773773197,0.255906202620329,0.7056877530362666,0.5074583770130815,0.5368186654308025,0.064102634018304,0.4861049201797189,0.2498392201633735,-0.0060669824569555,alpha_grid
50,combo_core,2019,2022,2023,2024,platt,0.4980616077305448,18.600640773773197,0.2500914174640469,0.6933309869752674,0.5074583770130815,0.5007549037756437,0.0136218722024555,0.4861049201797189,0.2498392201633735,-0.0002521973006734,alpha_grid
50,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.4980616077305448,18.600640773773197,0.24994911948289,0.6930454176969029,0.5074583770130815,0.4987349317418195,0.0034054680506138,0.4861049201797189,0.2498392201633735,-0.0001098993195165,alpha_grid
100,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.4754478931427,0.2513765936037924,0.6960937359497017,0.5175227414082445,0.5443536588248468,0.0639566372460245,0.5289204435249241,0.2488975149153299,-0.0024790786884624,alpha_grid
100,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.4754478931427,0.2497230474215863,0.6926260447105312,0.5175227414082445,0.5394306901523882,0.0434909606100141,0.5289204435249241,0.2488975149153299,-0.0008255325062563,alpha_grid
100,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.4754478931427,0.2490305768895372,0.691206553461984,0.5175227414082445,0.5184622012866923,0.0108727401525035,0.5289204435249241,0.2488975149153299,-0.0001330619742073,alpha_grid
100,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.252638578414915,0.2550464511156026,0.7037791991851836,0.5089675042701012,0.5445109084014216,0.0631531535345102,0.4999572344975053,0.2501588034603313,-0.0048876476552712,alpha_grid
100,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.252638578414915,0.2542456617820161,0.7020669145627628,0.5089675042701012,0.5346064917886121,0.0629683734237091,0.4999572344975053,0.2501588034603313,-0.0040868583216847,alpha_grid
100,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.252638578414915,0.250357093010804,0.693864837305812,0.5089675042701012,0.5183763062535062,0.0157420933559272,0.4999572344975053,0.2501588034603313,-0.0001982895504727,alpha_grid
100,combo_core,2019,2022,2023,2024,raw,0.4980616077305448,19.03989624977112,0.2563580870507579,0.7065971271892447,0.5059172623283166,0.5397747668836548,0.0641026463784316,0.4861049201797189,0.2498392201633735,-0.0065188668873844,alpha_grid
100,combo_core,2019,2022,2023,2024,platt,0.4980616077305448,19.03989624977112,0.2501443044592914,0.6934368973496872,0.5059172623283166,0.501221279230583,0.0140521338299323,0.4861049201797189,0.2498392201633735,-0.0003050842959179,alpha_grid
100,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.4980616077305448,19.03989624977112,0.2499595968423369,0.693066373262141,0.5059172623283166,0.4988515256055543,0.003513033457483,0.4861049201797189,0.2498392201633735,-0.0001203766789634,alpha_grid
300,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.076871395111084,0.2515382591449672,0.6964278920228123,0.5187061596310996,0.5516805915872557,0.063257126628851,0.5289204435249241,0.2488975149153299,-0.0026407442296373,alpha_grid
300,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.076871395111084,0.24959921546395,0.6923685555950112,0.5187061596310996,0.5427680880549538,0.0401005523818512,0.5289204435249241,0.2488975149153299,-0.00070170054862,alpha_grid
300,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.076871395111084,0.2490156796413778,0.6911767136220064,0.5187061596310996,0.5192965507623336,0.0100251380954628,0.5289204435249241,0.2488975149153299,-0.0001181647260478,alpha_grid
300,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.395407915115356,0.2550218110055238,0.7037056493505717,0.509413863176233,0.5460866649669948,0.0619975097471324,0.4999572344975053,0.2501588034603313,-0.0048630075451924,alpha_grid
300,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.395407915115356,0.2538810893295825,0.7012655845000229,0.509413863176233,0.5344221383104646,0.0600643056098047,0.4999572344975053,0.2501588034603313,-0.0037222858692511,alpha_grid
300,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.395407915115356,0.2503344324289668,0.6938191219788248,0.509413863176233,0.5183302178839693,0.0150160764024511,0.4999572344975053,0.2501588034603313,-0.0001756289686355,alpha_grid
300,combo_core,2019,2022,2023,2024,raw,0.4980616077305448,19.436661958694454,0.2564767094282113,0.7068434411546142,0.5043855661128879,0.5394454323709117,0.0647263287614912,0.4861049201797189,0.2498392201633735,-0.0066374892648378,alpha_grid
300,combo_core,2019,2022,2023,2024,platt,0.4980616077305448,19.436661958694454,0.2501622615248843,0.6934727772278857,0.5043855661128879,0.5013419376369961,0.0139873767004425,0.4861049201797189,0.2498392201633735,-0.0003230413615108,alpha_grid
