feature,importance,alpha,feature_set,valid_year
season,1.223036061049574,20,batter_env,2022
game_month,1.0801081676789839,20,batter_env,2022
game_dayofweek,0.06627918129501835,20,batter_env,2022
inning,0.20838149908915746,20,batter_env,2022
balls_before,0.5750767446499795,20,batter_env,2022
strikes_before,0.05100111262379433,20,batter_env,2022
outs_before,0.10528326153994859,20,batter_env,2022
run_top_before,0.04308809107198453,20,batter_env,2022
run_bot_before,0.0,20,batter_env,2022
run_total_before,0.28924978638802923,20,batter_env,2022
score_diff_home,0.18549343246200997,20,batter_env,2022
score_diff_pitcher_team,0.10497828934830805,20,batter_env,2022
runner_on_1b,0.0,20,batter_env,2022
runner_on_2b,0.0,20,batter_env,2022
runner_on_3b,0.9305543974532999,20,batter_env,2022
num_runners_on,0.2000544854509003,20,batter_env,2022
home_win_expectancy,0.04937761859614946,20,batter_env,2022
away_win_expectancy,0.15843189860481116,20,batter_env,2022
li,0.18082085024992584,20,batter_env,2022
pitcher_hand,0.0,20,batter_env,2022
batter_hand,0.039396911690634084,20,batter_env,2022
pitcher_team_id,0.10279772290187285,20,batter_env,2022
batter_team_id,0.19429482843760998,20,batter_env,2022
asof_pitcher_n,0.8655645650532332,20,batter_env,2022
asof_pitcher_success_rate,0.40951363932202234,20,batter_env,2022
asof_pitcher_reverse_rate,0.6161989966890449,20,batter_env,2022
asof_pitcher_middle_rate,0.4318114951829566,20,batter_env,2022
asof_pitcher_ball_rate,0.1853936925919976,20,batter_env,2022
asof_pitcher_strike_rate,0.12832202056630007,20,batter_env,2022
asof_pitcher_prev1_game_success_rate,0.22267059552633298,20,batter_env,2022
asof_pitcher_prev3_game_success_rate,0.21682206541006827,20,batter_env,2022
asof_pitcher_prev5_game_success_rate,0.1226340347731391,20,batter_env,2022
asof_pitcher_prev1_game_middle_rate,0.073209149427104,20,batter_env,2022
asof_pitcher_prev3_game_middle_rate,0.234674110714939,20,batter_env,2022
asof_pitcher_prev5_game_middle_rate,0.22687218673960766,20,batter_env,2022
asof_batter_n,0.24398133967227423,20,batter_env,2022
asof_batter_success_rate,0.2960463860134871,20,batter_env,2022
asof_batter_middle_rate,0.16505696569870912,20,batter_env,2022
asof_pitcher_pitchmix_n,0.25498978711537246,20,batter_env,2022
asof_pitcher_fastball_rate,0.1816811002469078,20,batter_env,2022
asof_pitcher_breaking_rate,0.11166782993609628,20,batter_env,2022
asof_pitcher_offspeed_rate,0.07576557390529935,20,batter_env,2022
hs_batter_logit_rel,0.21298117550671877,20,batter_env,2022
hs_batter_n,0.24123249416758652,20,batter_env,2022
hs_batter_rate,0.18721880159162033,20,batter_env,2022
hs_batter_rel,0.4139791184935335,20,batter_env,2022
hs_pitcher_logit_rel,1.0028473206605426,20,batter_env,2022
hs_pitcher_n,0.965059909319372,20,batter_env,2022
hs_pitcher_rate,0.6480626140459451,20,batter_env,2022
hs_pitcher_rel,0.6375852694216027,20,batter_env,2022
top_bottom_code,0.022028330419815605,20,batter_env,2022
game_type_code,1.611996388404531,20,batter_env,2022
base_state_code,0.4790449878864991,20,batter_env,2022
pitcher_id_code,0.7112294275670905,20,batter_env,2022
batter_id_code,0.17797090912340474,20,batter_env,2022
count_index,0.308824003797974,20,batter_env,2022
two_strike,0.0,20,batter_env,2022
three_ball,0.2304749382633458,20,batter_env,2022
full_count,0.0,20,batter_env,2022
pitcher_count,0.0,20,batter_env,2022
hitter_count,0.09058295859274965,20,batter_env,2022
even_count,0.029928066117109804,20,batter_env,2022
runner_on,0.0,20,batter_env,2022
scoring_position,1.1937550782729223,20,batter_env,2022
abs_score_diff_pitcher_team,0.293194135785781,20,batter_env,2022
pitcher_team_leading,0.0,20,batter_env,2022
pitcher_team_trailing,0.0404017703836783,20,batter_env,2022
late_inning,0.021939115719161652,20,batter_env,2022
te_pitcher_id,4.075829131631541,20,batter_env,2022
te_pitcher_id_delta,3.814962943669377,20,batter_env,2022
te_batter_id,0.4654386583993717,20,batter_env,2022
te_batter_id_delta,0.29987391224247123,20,batter_env,2022
te_pitcher_team_id,0.47391660788851164,20,batter_env,2022
te_pitcher_team_id_delta,0.25408676246151646,20,batter_env,2022
te_batter_team_id,0.6952343363221538,20,batter_env,2022
te_batter_team_id_delta,2.808691906305621,20,batter_env,2022
te_game_type,1.1740758639298507,20,batter_env,2022
te_game_type_delta,1.4206850813457943,20,batter_env,2022
te_season,0.6100574863076309,20,batter_env,2022
te_season_delta,1.136457742899886,20,batter_env,2022
te_pitcher_id__balls_before__strikes_before,10.451593085438818,20,batter_env,2022
te_pitcher_id__balls_before__strikes_before_delta,12.763188046871125,20,batter_env,2022
te_pitcher_id__batter_hand,1.7996479777940346,20,batter_env,2022
te_pitcher_id__batter_hand_delta,1.673017377551977,20,batter_env,2022
te_pitcher_id__base_state,6.144953734892553,20,batter_env,2022
te_pitcher_id__base_state_delta,6.0542915051734765,20,batter_env,2022
te_pitcher_id__game_type,3.4418049849799286,20,batter_env,2022
te_pitcher_id__game_type_delta,5.823611054093946,20,batter_env,2022
te_batter_id__pitcher_hand,5.039399267559193,20,batter_env,2022
te_batter_id__pitcher_hand_delta,4.645562715190065,20,batter_env,2022
te_balls_before__strikes_before,0.2028730277672721,20,batter_env,2022
te_balls_before__strikes_before_delta,0.25975271367545294,20,batter_env,2022
te_balls_before__strikes_before__game_type,1.2960935314675424,20,batter_env,2022
te_balls_before__strikes_before__game_type_delta,0.7935688767537533,20,batter_env,2022
te_pitcher_hand__batter_hand,0.053108731077885094,20,batter_env,2022
te_pitcher_hand__batter_hand_delta,0.08711500744183674,20,batter_env,2022
te_base_state__outs_before,0.2438398276478546,20,batter_env,2022
te_base_state__outs_before_delta,0.31625164732848116,20,batter_env,2022
asof_pitcher_success_minus_global,0.5270149673978627,20,batter_env,2022
asof_batter_success_minus_global,0.22088553159842947,20,batter_env,2022
pitcher_success_x_two_strike,0.12621876504223697,20,batter_env,2022
pitcher_success_x_runner_on,0.08249061758530479,20,batter_env,2022
pitcher_fastball_x_hitter_count,0.3534898835594434,20,batter_env,2022
season,1.6234596476336327,20,pitcher_batter_hand,2022
game_month,0.8788425944884457,20,pitcher_batter_hand,2022
game_dayofweek,0.05416715683033495,20,pitcher_batter_hand,2022
inning,0.16641001625403531,20,pitcher_batter_hand,2022
balls_before,0.5256480190067444,20,pitcher_batter_hand,2022
strikes_before,0.11039045526496111,20,pitcher_batter_hand,2022
outs_before,0.01797792805736567,20,pitcher_batter_hand,2022
run_top_before,0.07372086559123905,20,pitcher_batter_hand,2022
run_bot_before,0.02610517843275262,20,pitcher_batter_hand,2022
run_total_before,0.2328202242051075,20,pitcher_batter_hand,2022
score_diff_home,0.15690936177455905,20,pitcher_batter_hand,2022
score_diff_pitcher_team,0.11870486840541375,20,pitcher_batter_hand,2022
runner_on_1b,0.0,20,pitcher_batter_hand,2022
runner_on_2b,0.0,20,pitcher_batter_hand,2022
runner_on_3b,0.8429107414054653,20,pitcher_batter_hand,2022
num_runners_on,0.12858315640739768,20,pitcher_batter_hand,2022
home_win_expectancy,0.11350089019435924,20,pitcher_batter_hand,2022
away_win_expectancy,0.1114923260107193,20,pitcher_batter_hand,2022
li,0.28893336340568415,20,pitcher_batter_hand,2022
pitcher_hand,0.0,20,pitcher_batter_hand,2022
batter_hand,0.04500503971210296,20,pitcher_batter_hand,2022
pitcher_team_id,0.07680787506176273,20,pitcher_batter_hand,2022
batter_team_id,0.04289588001575477,20,pitcher_batter_hand,2022
asof_pitcher_n,0.8331224048183654,20,pitcher_batter_hand,2022
asof_pitcher_success_rate,0.6450441900418468,20,pitcher_batter_hand,2022
asof_pitcher_reverse_rate,0.5478329651582186,20,pitcher_batter_hand,2022
