ensemble_norm,stage,weights_norm,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_logloss,mean_auc,mean_pred_std
"{'catboost': 0.9, 'xgboost': 0.1}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.9, 'xgboost': 0.1}",0.24963335873523884,0.0006547203715208019,0.2501608687562812,3,9.110442302910137e-05,0.692413997901833,0.5194658224650163,0.008050989049743133
"{'catboost': 0.9, 'xgboost': 0.1}",platt_avg_plus_trend_w075,"{'catboost': 0.9, 'xgboost': 0.1}",0.24963369792595116,0.0006539473074080012,0.2501606335150332,3,9.076523231683457e-05,0.6924146724330092,0.5194698876334267,0.008024730340545533
"{'catboost': 0.8, 'xgboost': 0.2}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.8, 'xgboost': 0.2}",0.2496350375903953,0.0006535952637544901,0.2501630780141007,3,8.942556787271275e-05,0.6924173594156809,0.5193780095165709,0.008016642128352734
"{'catboost': 0.8, 'xgboost': 0.2}",platt_avg_plus_trend_w075,"{'catboost': 0.8, 'xgboost': 0.2}",0.24963563008422143,0.0006522321680562774,0.2501626508707635,3,8.883307404657368e-05,0.6924185375308044,0.5193858139959874,0.007969895376470533
"{'catboost': 0.7, 'xgboost': 0.3}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.7, 'xgboost': 0.3}",0.24963688033413375,0.0006523458506615461,0.2501654294097749,3,8.758282413425112e-05,0.6924210484537886,0.5192840307128649,0.007979844599894134
"{'catboost': 0.7, 'xgboost': 0.3}",platt_avg_plus_trend_w075,"{'catboost': 0.7, 'xgboost': 0.3}",0.24963764265448904,0.0006505725738412087,0.2501648555275223,3,8.682050377899812e-05,0.6924225640393787,0.5192952743994924,0.007918420720244967
"{'catboost': 0.6, 'xgboost': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.6, 'xgboost': 0.4}",0.24963888365731626,0.0006509767054553865,0.2501679202613373,3,8.557950095177751e-05,0.6924250583568612,0.5191809080558557,0.007940633332943267
"{'catboost': 0.9, 'lightgbm': 0.1}",platt_avg_plus_trend_w075,"{'catboost': 0.9, 'lightgbm': 0.1}",0.24963892178688654,0.0006412861808855105,0.2501560572511375,3,8.55413713814427e-05,0.6924251288350657,0.5191366838605265,0.007924992360570335
"{'catboost': 0.6, 'xgboost': 0.4}",platt_avg_plus_trend_w075,"{'catboost': 0.6, 'xgboost': 0.4}",0.24963973563675387,0.0006489692527915292,0.2501672474853094,3,8.472752151415421e-05,0.6924267519294488,0.5191950892207183,0.0078703743845417
"{'catboost': 0.9, 'sklearn_hgb': 0.1}",platt_avg_plus_trend_w075,"{'catboost': 0.9, 'sklearn_hgb': 0.1}",0.24964008414453911,0.0006450199410011859,0.2501616141094574,3,8.437901372889687e-05,0.6924274549908525,0.5190972600229758,0.007911910680796067
