strategy,temperature,valid_year,target_rate_estimator,target_rate,platt_pred_mean,mean_matched_pred_mean,mean_matched_pred_std,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
temperature,1.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2484791195662499,0.0006844883800717627,274.71442788676626,0.5324856858143385,0.6900937141401939,0.5114727049981269,0.028738786938679744
temperature,1.25,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24854371417865972,0.0006198937676619443,248.78985048068918,0.5324856858143385,0.6902267340894321,0.5114727049981268,0.023022321085050437
temperature,1.5,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2486235658700128,0.0005400420763088665,216.74195552073155,0.5324856858143385,0.6903887629727895,0.5114727049981269,0.019199429203911312
temperature,2.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24876502254506172,0.0003985854012599488,159.96934887289706,0.5324856858143385,0.6906740429358643,0.5114727049981269,0.014410091945891634
temperature,2.5,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2488721741687899,0.0002914337775317688,116.96482481284086,0.5324856858143385,0.69088941745106,0.5114727049981268,0.011531936781258871
temperature,3.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24895290363993497,0.0002107043063866998,84.56463932409129,0.5324856858143385,0.6910514409133615,0.5114727049981268,0.009611679212030867
temperature,4.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24906427470230394,9.93332440177297e-05,39.86667428540746,0.5324856858143385,0.6912747293477998,0.5114727049981269,0.007210032276769844
temperature,5.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2491366739573552,2.6933988966471034e-05,10.809760377315428,0.5324856858143385,0.6914197784447648,0.5114727049981268,0.005768486810466682
temperature,7.5,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2492397077289699,-7.609978264822015e-05,0.0,0.5324856858143385,0.6916261032069407,0.5114727049981268,0.0038459507942524493
temperature,10.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24929400869242355,-0.00013040074610187746,0.0,0.5324856858143385,0.6917348061711412,0.5114727049981268,0.0028845353492643637
temperature,15.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24935016401832794,-0.00018655607200626645,0.0,0.5324856858143385,0.691847203204649,0.5114727049981268,0.0019230550184291333
temperature,20.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2493789366030691,-0.00021532865674742108,0.0,0.5324856858143385,0.6919047870449625,0.5114727049981269,0.0014422983557218912
temperature,1.0,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.25247795129912054,-0.002477953128008775,0.0,0.5154708686332126,0.6983585288989409,0.5276733290608981,0.05544871193038937
temperature,1.25,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.2516696902280662,-0.0016696920569544138,0.0,0.5154708686332126,0.6966105501114771,0.5276733290608981,0.0446809459800638
temperature,1.5,2023,linear_trend_recent3,0.5276733290608981,0.5311629375524517,0.5276733290608981,0.05544871193038937,0.49995723449750534,0.24999999817111176,0.2512523420822719,-0.0012523439111601087,0.0,0.5154708686332126,0.6957222590305155,0.5276733290608981,0.03738738420416044
