feature,missing_rate,fallback_rate,unique_count,mean,std,min,max,target_corr,bottom20_target_rate,top20_target_rate,top_bottom_target_gap,alpha,valid_year
rf_pitcher_long_term_n,0.0,,290,2460.622802734375,2343.332275390625,0.0,8670.0,-0.018478377547150135,0.5456644637311888,0.5215540804373292,-0.024110383293859616,5,2022
rf_pitcher_long_term_rate,0.0,,302,0.542697012424469,0.05708519369363785,0.3396018445491791,0.8375629782676697,0.07079948335337351,0.4766358908196589,0.5834951646756508,0.10685927385599187,5,2022
rf_global_historical_rate,0.0,,1,0.5431423783302307,0.0,0.5431423783302307,0.5431423783302307,,,,,5,2022
rf_pitcher_recent_5_n,0.0,,2,4.213042259216309,1.8208513259887695,0.0,5.0,-0.012949717028747474,,,,5,2022
rf_pitcher_recent_5_control_rate,0.0,0.15739154328570504,303,0.5591410398483276,0.13004863262176514,0.2225804328918457,0.9187814593315125,0.03890889104546644,0.5005601344322638,0.5544346783859369,0.05387454395367308,5,2022
rf_pitcher_form_delta_5,0.0,,303,0.016444070264697075,0.11415652930736542,-0.2787511646747589,0.289819598197937,0.008921484048876781,0.5163859355712181,0.5247226846929974,0.008336749121779286,5,2022
rf_pitcher_form_delta_5_vs_global,0.0,,303,0.01599867269396782,0.13004863262176514,-0.3205619156360626,0.3756391406059265,0.0389088896834585,0.5005601344322638,0.5544346783859369,0.05387454395367308,5,2022
rf_pitcher_recent_10_n,0.0,,2,8.426084518432617,3.641702651977539,0.0,10.0,-0.012949717028747474,,,,5,2022
rf_pitcher_recent_10_control_rate,0.0,0.15739154328570504,303,0.56754070520401,0.14485397934913635,0.14838695526123047,0.895719051361084,0.034828637211432804,0.49987001819745236,0.5572560209110681,0.057386002713615714,5,2022
rf_pitcher_form_delta_10,0.0,,303,0.024843737483024597,0.13436436653137207,-0.3382607102394104,0.3864261209964752,0.00746823193904196,0.5058591048315384,0.518288951617679,0.012429846786140564,5,2022
rf_pitcher_form_delta_10_vs_global,0.0,,303,0.02439834177494049,0.14485397934913635,-0.39475539326667786,0.35257667303085327,0.034828635610689516,0.49987001819745236,0.5572560209110681,0.057386002713615714,5,2022
rf_pitcher_recent_20_n,0.0,,6,16.833087921142578,7.28416633605957,0.0,20.0,-0.013503416303916937,0.5289204435249241,0.5257716576742216,-0.00314878585070244,5,2022
rf_pitcher_recent_20_control_rate,0.0,0.15739154328570504,303,0.5665850639343262,0.1336314082145691,0.18792036175727844,0.9154062271118164,0.029244721240003168,0.5069434786927585,0.5425038639876353,0.03556038529487682,5,2022
rf_pitcher_form_delta_20,0.0,,303,0.023888131603598595,0.12284088134765625,-0.28440260887145996,0.3462139666080475,-0.0010874961596792005,0.517905631419464,0.5137349976958063,-0.0041706337236576685,5,2022
rf_pitcher_form_delta_20_vs_global,0.0,,303,0.02344273403286934,0.1336314082145691,-0.3552219867706299,0.37226390838623047,0.029244720809050818,0.5069434786927585,0.5425038639876353,0.03556038529487682,5,2022
rf_pitcher_recent_50_n,0.0,,15,41.89302062988281,18.276094436645508,0.0,50.0,-0.01570253372871128,0.5289204435249241,0.5247562310030395,-0.004164212521884592,5,2022
rf_pitcher_recent_50_control_rate,0.0,0.15739154328570504,302,0.5613165497779846,0.11299597471952438,0.30360016226768494,0.8843548893928528,0.03699959716680923,0.5016866530174515,0.5526655635820654,0.0509789105646139,5,2022
rf_pitcher_form_delta_50,0.0,,302,0.01861954666674137,0.1026218831539154,-0.2131432592868805,0.33255529403686523,0.001356467568326611,0.5236365789629512,0.5258930373360242,0.002256458373072978,5,2022
rf_pitcher_form_delta_50_vs_global,0.0,,302,0.018174145370721817,0.11299597471952438,-0.2395421862602234,0.34121251106262207,0.03699959722367695,0.5016866530174515,0.5526655635820654,0.0509789105646139,5,2022
rf_pitcher_recent_100_n,0.0,,28,82.72467803955078,36.917816162109375,0.0,100.0,-0.016559608061278493,0.5289204435249241,0.5249982476694003,-0.00392219585552378,5,2022
rf_pitcher_recent_100_control_rate,0.0,0.15739154328570504,302,0.5490305423736572,0.09679372608661652,0.322918176651001,0.8843548893928528,0.04631625126367798,0.4885823693337878,0.5614904198311423,0.07290805049735455,5,2022
rf_pitcher_form_delta_100,0.0,,302,0.0063336752355098724,0.08185835182666779,-0.2238469272851944,0.30077221989631653,0.00539370919609859,0.5148552012958793,0.5284063839923773,0.013551182696498021,5,2022
rf_pitcher_form_delta_100_vs_global,0.0,,302,0.005888277664780617,0.09679372608661652,-0.22022417187690735,0.34121251106262207,0.04631624975068101,0.4885823693337878,0.5614904198311423,0.07290805049735455,5,2022
rf_pitcher_game_type_recent_50_n,0.0,,30,40.59052276611328,19.323862075805664,0.0,50.0,-0.014893857875942005,0.5289204435249241,0.5238745984761002,-0.005045845048823883,5,2022
rf_pitcher_game_type_recent_50_control_rate,0.0,0.1809376414301416,420,0.5283786654472351,0.0752246230840683,0.3198009133338928,0.8528974056243896,0.09218060996286724,0.47371488518475346,0.6024793061111331,0.12876442092637963,5,2022
rf_pitcher_count_recent_50_n,0.0,,51,38.34855651855469,19.78369903564453,0.0,50.0,-0.020566142876010274,0.5474798609855561,0.5218710071023218,-0.025608853883234306,5,2022
rf_pitcher_count_recent_50_control_rate,0.0,0.16001810305812375,2853,0.5397223234176636,0.06868885457515717,0.31000158190727234,0.8575114011764526,0.06389658414885376,0.4860406091370558,0.5790969498038587,0.0930563406668029,5,2022
rf_pitcher_batter_hand_recent_50_n,0.0,,41,41.33235549926758,18.50751304626465,0.0,50.0,-0.016422038036144386,0.5289204435249241,0.524911925003262,-0.004008518521662063,5,2022
rf_pitcher_batter_hand_recent_50_control_rate,0.0,0.15739154328570504,585,0.5471077561378479,0.07486692070960999,0.30743706226348877,0.8677992820739746,0.06387857400128631,0.47932278100581044,0.5782111064010174,0.09888832539520692,5,2022
rf_pitcher_long_term_n,0.0,,305,3178.159423828125,2861.623779296875,0.0,10931.0,0.02377047264220075,0.48948472078014615,0.5231623705572397,0.03367764977709353,5,2023
rf_pitcher_long_term_rate,0.0,,318,0.5382856726646423,0.049696024507284164,0.390108197927475,0.7749172449111938,0.03038374253409879,0.46077932648285685,0.5213010178168742,0.06052169133401736,5,2023
rf_global_historical_rate,0.0,,1,0.5395365357398987,0.0,0.5395364761352539,0.5395364761352539,,,,,5,2023
rf_pitcher_recent_5_n,0.0,,2,4.3100905418396,1.7244082689285278,0.0,5.0,0.0010522631671029568,,,,5,2023
rf_pitcher_recent_5_control_rate,0.0,0.13798187557275227,319,0.5665386915206909,0.1282455027103424,0.22760792076587677,0.8874586224555969,0.0038076056695502585,0.4997875998786285,0.5105792302048424,0.010791630326213941,5,2023
rf_pitcher_form_delta_5,0.0,,319,0.028252962976694107,0.11993148922920227,-0.29936161637306213,0.263528436422348,-0.008518554531111408,0.5061613106234394,0.48702825408407313,-0.019133056539366255,5,2023
rf_pitcher_form_delta_5_vs_global,0.0,,319,0.02700217440724373,0.1282455027103424,-0.3119286000728607,0.34792211651802063,0.003807605514958947,0.4997875998786285,0.5105792302048424,0.010791630326213941,5,2023
rf_pitcher_recent_10_n,0.0,,2,8.6201810836792,3.4488165378570557,0.0,10.0,0.0010522631671029568,,,,5,2023
rf_pitcher_recent_10_control_rate,0.0,0.13798187557275227,319,0.5758883953094482,0.12380518764257431,0.22928085923194885,0.9136686325073242,0.0019435138430921842,0.49405952476198095,0.4967821144973168,0.0027225897353358453,5,2023
rf_pitcher_form_delta_10,0.0,,319,0.0376027375459671,0.11444512754678726,-0.2654905915260315,0.30983954668045044,-0.011091201437896492,0.5104257419991869,0.4913292466526859,-0.019096495346500986,5,2023
rf_pitcher_form_delta_10_vs_global,0.0,,319,0.036351945251226425,0.12380518764257431,-0.31025564670562744,0.37413209676742554,0.0019435146094405444,0.49405952476198095,0.4967821144973168,0.0027225897353358453,5,2023
rf_pitcher_recent_20_n,0.0,,5,17.236913681030273,6.89757776260376,0.0,20.0,0.001109505896964418,0.49995723449750534,0.5002080693059943,0.00025083480848892004,5,2023
rf_pitcher_recent_20_control_rate,0.0,0.13798187557275227,319,0.5805535316467285,0.12258859723806381,0.20069767534732819,0.9101861119270325,0.006291911100536607,0.4851561116685357,0.5020171050508311,0.01686099338229541,5,2023
rf_pitcher_form_delta_20,0.0,,319,0.042267803102731705,0.11279434710741043,-0.2651553153991699,0.35925552248954773,-0.006548508965804395,0.49966632287811685,0.4916668354225309,-0.00799948745558593,5,2023
rf_pitcher_form_delta_20_vs_global,0.0,,319,0.04101702198386192,0.12258858978748322,-0.3388388156890869,0.3706496059894562,0.00629190994912059,0.4851561116685357,0.5020171050508311,0.01686099338229541,5,2023
rf_pitcher_recent_50_n,0.0,,14,42.994117736816406,17.283823013305664,0.0,50.0,0.0016966427731897145,0.49995723449750534,0.5004439885845074,0.0004867540870021059,5,2023
rf_pitcher_recent_50_control_rate,0.0,0.13798187557275227,318,0.5644155144691467,0.11107243597507477,0.309408038854599,0.8711990118026733,0.0018519574159826554,0.4944682335161109,0.49579134798267976,0.0013231144665688532,5,2023
rf_pitcher_form_delta_50,0.0,,318,0.02612987719476223,0.10205318033695221,-0.23968791961669922,0.341145783662796,-0.012780101282184278,0.5112396011564104,0.4936186411813027,-0.01762095997510771,5,2023
rf_pitcher_form_delta_50_vs_global,0.0,,318,0.024879086762666702,0.11107243597507477,-0.2301284670829773,0.33166250586509705,0.00185195607884384,0.4944682335161109,0.49579134798267976,0.0013231144665688532,5,2023
rf_pitcher_recent_100_n,0.0,,27,85.48326873779297,34.7540397644043,0.0,100.0,0.00311100999297311,0.49995723449750534,0.5010535045298284,0.001096270032323099,5,2023
rf_pitcher_recent_100_control_rate,0.0,0.13798187557275227,318,0.5528748631477356,0.0968426987528801,0.3293496072292328,0.8279291987419128,0.008231085955391055,0.48291922401373566,0.49725406878858336,0.0143348447748477,5,2023
rf_pitcher_form_delta_100,0.0,,318,0.014589088968932629,0.08413911610841751,-0.1869918555021286,0.2724158465862274,-0.008472046687195157,0.5007013478075257,0.48575294331468727,-0.014948404492838463,5,2023
rf_pitcher_form_delta_100_vs_global,0.0,,318,0.01333830039948225,0.0968426987528801,-0.2101869136095047,0.28839269280433655,0.008231087465004144,0.48291922401373566,0.49725406878858336,0.0143348447748477,5,2023
rf_pitcher_game_type_recent_50_n,0.0,,26,42.16788101196289,17.994354248046875,0.0,50.0,0.003955253281206218,0.49995723449750534,0.5009050918716911,0.0009478573741857343,5,2023
rf_pitcher_game_type_recent_50_control_rate,0.0,0.15089705732613787,444,0.5247786045074463,0.0669633224606514,0.32593974471092224,0.8036003708839417,0.020355335723779934,0.46797184951853105,0.5162359178263751,0.04826406830784408,5,2023
rf_pitcher_count_recent_50_n,0.0,,51,40.770469665527344,18.436233520507812,0.0,50.0,0.008947698854453609,0.49010635918085127,0.5035202578897353,0.013413898708884042,5,2023
rf_pitcher_count_recent_50_control_rate,0.0,0.13875572752265553,2957,0.5351043939590454,0.06296513229608536,0.35087499022483826,0.8041812777519226,0.02760262878415378,0.4698454656364376,0.515608835879024,0.045763370242586365,5,2023
rf_pitcher_batter_hand_recent_50_n,0.0,,36,42.715885162353516,17.404651641845703,0.0,50.0,0.003070491484248878,0.49995723449750534,0.5010624837005342,0.0011052492030288463,5,2023
rf_pitcher_batter_hand_recent_50_control_rate,0.0,0.13798187557275227,617,0.5438883304595947,0.07014767080545425,0.3517442047595978,0.8136003613471985,0.022843773595179223,0.4747098264022525,0.5092575655955938,0.034547739193341254,5,2023
rf_pitcher_long_term_n,0.0,,297,3241.064208984375,3371.728271484375,0.0,13637.0,0.02304749963943516,0.49000157766032976,0.501158626500948,0.011157048840618244,5,2024
rf_pitcher_long_term_rate,0.0,,311,0.5280053615570068,0.0486234575510025,0.3026321530342102,0.7915298342704773,0.024405055206528983,0.457500194507119,0.5056906265360911,0.04819043202897211,5,2024
rf_global_historical_rate,0.0,,1,0.531581461429596,0.0,0.5315815210342407,0.5315815210342407,,,,,5,2024
rf_pitcher_recent_5_n,0.0,,2,4.006970405578613,1.9947571754455566,0.0,5.0,-0.003809966653708342,,,,5,2024
