feature,group,used_by_current_feature_builder,dtype,missing_rate,unique_count,target_separation,catboost_importance
asof_pitcher_success_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,220896,0.12158100547764855,0.5148614275560446
asof_pitcher_prev5_game_success_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,9314,0.11118589921603222,0.1661874600050548
asof_pitcher_prev3_game_success_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,6319,0.10936910727816551,0.23028030185590853
asof_pitcher_prev1_game_success_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,1924,0.08888967268444059,0.3716389525693676
asof_batter_success_rate,E_official_asof_batter,True,float64,0.0005626767686354478,166832,0.07688360001290057,0.4409973955855515
asof_pitcher_offspeed_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,449454,0.0197008749915214,0.09844988689391664
asof_pitcher_strike_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,131532,0.009075713061497015,0.192709453061947
asof_pitcher_fastball_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,337588,-0.00483071324431239,0.20530103248295264
asof_pitcher_breaking_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,386613,-0.01970378713441545,0.07234702391593097
asof_pitcher_pitchmix_n,E_official_asof_pitcher,True,int64,0.0,15450,-0.023352670626304417,0.938191388344312
asof_pitcher_n,E_official_asof_pitcher,True,int64,0.0,15450,-0.023352670626304417,0.5984008954341583
asof_pitcher_prev1_game_middle_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,1337,-0.02753268279577825,0.09656075787393516
asof_pitcher_ball_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,144809,-0.031206334133088265,0.15457979218944815
asof_pitcher_prev3_game_middle_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,4653,-0.04086181953632184,0.14316491619072078
asof_pitcher_prev5_game_middle_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,7296,-0.04632187545226352,0.12639128097768143
asof_batter_middle_rate,E_official_asof_batter,True,float64,0.0005626767686354478,92883,-0.05420794011209773,0.06153887238920983
asof_pitcher_middle_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,120993,-0.05582426067477675,0.33746200193792314
asof_batter_n,E_official_asof_batter,True,int64,0.0,13928,-0.058010914245033685,0.13190012778188903
asof_pitcher_reverse_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,228112,-0.11454671064400668,0.559376749602016
