feature,group,used_by_current_feature_builder,dtype,missing_rate,unique_count,target_separation,catboost_importance
row_id,other,False,object,0.0,1475092,,
season,F_temporal,True,int64,0.0,6,-0.05554907287424343,2.0603589574091568
game_month,F_temporal,True,int64,0.0,8,-0.012923578672684677,1.2608859892079414
game_dayofweek,F_temporal,True,int64,0.0,7,0.00028101439074990076,0.07021987658245747
inning,C_game_context,True,int64,0.0,13,-0.017559970349206866,0.13998418920667255
top_bottom,H_categorical,True,object,0.0,2,0.001327432052802946,
game_type,H_categorical,True,object,0.0,2,0.08924579026799451,
balls_before,D_count,True,int64,0.0,4,-0.012914411711004492,0.4031659357988264
strikes_before,D_count,True,int64,0.0,3,-0.006858991640721124,0.08342452672256893
outs_before,D_count,True,int64,0.0,3,0.004739692724874622,0.0406700443118548
run_top_before,G_other_numeric,True,int64,0.0,30,-0.01250283464836166,0.1146276468142875
run_bot_before,G_other_numeric,True,int64,0.0,25,-0.012365604074230263,0.0510996787410678
run_total_before,G_other_numeric,True,int64,0.0,38,-0.015449964459806065,0.12536455437730173
score_diff_home,G_other_numeric,True,int64,0.0,47,-0.0016025958547855046,0.06723955792875697
score_diff_pitcher_team,C_game_context,True,int64,0.0,52,0.008345791823123783,0.16083923524186614
runner_on_1b,G_other_numeric,True,int64,0.0,2,-0.0001140872303569962,0.0
runner_on_2b,G_other_numeric,True,int64,0.0,2,-0.0020626871030448024,0.0061705309045154005
runner_on_3b,G_other_numeric,True,int64,0.0,2,0.00023247863625452947,0.7538274140119833
num_runners_on,C_game_context,True,int64,0.0,4,0.0015203971309333264,0.19996165403108337
base_state,H_categorical,True,object,0.0,8,0.01992352157377053,
home_win_expectancy,C_game_context,True,float64,0.0,977,-0.000773223721848959,0.11829508231593029
away_win_expectancy,C_game_context,True,float64,0.0,981,0.000773223721848959,0.0997166220132684
li,C_game_context,True,float64,0.0,502,0.012044644511529201,0.29480023800568733
pitcher_id,H_categorical,True,int64,0.0,792,-0.029871037703545933,
batter_id,H_categorical,True,int64,0.0,830,-0.004699825727796814,
pitcher_hand,A_pitcher_identity_profile,True,int64,0.0,2,0.00952279024171343,0.028210926150151833
batter_hand,B_batter_identity_profile,True,int64,0.0,2,0.00535001958114556,0.056243205812177066
pitcher_team_id,A_pitcher_identity_profile,True,int64,0.0,13,-0.021891300505272993,0.1745946367878294
batter_team_id,B_batter_identity_profile,True,int64,0.0,13,-0.006488021234561603,0.12347479094701586
asof_pitcher_n,E_official_asof_pitcher,True,int64,0.0,15450,-0.023352670626304417,0.5984008954341583
asof_pitcher_success_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,220896,0.12158100547764855,0.5148614275560446
asof_pitcher_reverse_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,228112,-0.11454671064400668,0.559376749602016
asof_pitcher_middle_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,120993,-0.05582426067477675,0.33746200193792314
asof_pitcher_ball_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,144809,-0.031206334133088265,0.15457979218944815
asof_pitcher_strike_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,131532,0.009075713061497015,0.192709453061947
asof_pitcher_prev1_game_success_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,1924,0.08888967268444059,0.3716389525693676
asof_pitcher_prev3_game_success_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,6319,0.10936910727816551,0.23028030185590853
asof_pitcher_prev5_game_success_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,9314,0.11118589921603222,0.1661874600050548
asof_pitcher_prev1_game_middle_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,1337,-0.02753268279577825,0.09656075787393516
asof_pitcher_prev3_game_middle_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,4653,-0.04086181953632184,0.14316491619072078
asof_pitcher_prev5_game_middle_rate,E_official_asof_pitcher,True,float64,0.019785206617621138,7296,-0.04632187545226352,0.12639128097768143
asof_batter_n,E_official_asof_batter,True,int64,0.0,13928,-0.058010914245033685,0.13190012778188903
asof_batter_success_rate,E_official_asof_batter,True,float64,0.0005626767686354478,166832,0.07688360001290057,0.4409973955855515
asof_batter_middle_rate,E_official_asof_batter,True,float64,0.0005626767686354478,92883,-0.05420794011209773,0.06153887238920983
asof_pitcher_pitchmix_n,E_official_asof_pitcher,True,int64,0.0,15450,-0.023352670626304417,0.938191388344312
asof_pitcher_fastball_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,337588,-0.00483071324431239,0.20530103248295264
asof_pitcher_breaking_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,386613,-0.01970378713441545,0.07234702391593097
asof_pitcher_offspeed_rate,E_official_asof_pitcher,True,float64,0.0005369156635653912,449454,0.0197008749915214,0.09844988689391664
