method,brier,logloss,pred_mean,target_mean,bias
platt,0.25003630877946614,0.6932202666792624,0.500312825193871,0.4861049201797189,0.014207905014152089
isotonic,0.25004742025608145,0.6933782464021067,0.5015657638866299,0.4861049201797189,0.015460843706910976
blend_game_type_0.50,0.2513212797188682,0.6958219309394691,0.5167866591822516,0.4861049201797189,0.030681739002532737
blend_global_0.50,0.2515967625890653,0.6963918266446385,0.5169945774079127,0.4861049201797189,0.030889657228193756
game_type_logit_offset,0.25179150926475574,0.6968449454900832,0.5006783279467778,0.4861049201797189,0.014573407767058899
blend_game_type_0.30,0.2528409888732678,0.698988041487251,0.5236847636366789,0.4861049201797189,0.03757984345696003
blend_global_0.30,0.25305943902244604,0.6994592168733964,0.5238095145720756,0.4861049201797189,0.03770459439235668
global_logit_offset,0.25423961353654684,0.7021498779956855,0.5030573818783345,0.4861049201797189,0.016952461698615584
blend_game_type_0.15,0.25433609739221497,0.7022112194744617,0.5288583419774994,0.4861049201797189,0.042753421797780466
blend_global_0.15,0.2544652576269516,0.7025025855348991,0.5289207174451979,0.4861049201797189,0.04281579726547896
raw,0.25613577161386,0.706255884297267,0.53403192031832,0.4861049201797189,0.04792700013860113
