method,brier,logloss,pred_mean,target_mean,bias
platt,0.2500249677510503,0.6931975969299533,0.5003080196545674,0.4861049201797189,0.01420309947484849
isotonic,0.2500477130171266,0.6935083066905868,0.5016382085090706,0.4861049201797189,0.015533288329351691
blend_game_type_0.50,0.25127716993509935,0.6957335432093811,0.5164578420146752,0.4861049201797189,0.030352921834956248
blend_global_0.50,0.2515516617219111,0.6963014005918973,0.5166657602403363,0.4861049201797189,0.030560840060617378
game_type_logit_offset,0.25178920588930176,0.6968469108248823,0.5006466093334657,0.4861049201797189,0.014541689153746817
blend_game_type_0.30,0.25278095554766256,0.6988677221445283,0.5232244196020719,0.4861049201797189,0.037119499422352986
blend_global_0.30,0.25299857318679714,0.6993371586545757,0.5233491705374685,0.4861049201797189,0.03724425035774964
global_logit_offset,0.2542158062513349,0.7021105286608227,0.50301239710125,0.4861049201797189,0.016907476921531106
blend_game_type_0.15,0.2542647665496091,0.702068469276445,0.5282993527926196,0.4861049201797189,0.042194432612900734
blend_global_0.15,0.25439342133181925,0.7023587724118465,0.5283617282603178,0.4861049201797189,0.042256808080598895
raw,0.25605369623086216,0.7060923799584506,0.5333742859831672,0.4861049201797189,0.04726936580344826
