feature,value,n_2022,n_2023,share_2022,share_2023,success_rate_2022,success_rate_2023,share_delta_2023_minus_2022,rate_delta_2023_minus_2022
balls,1,8984.0,7625.0,0.2950604308985812,0.29685431752705754,0.7053650934995548,0.47042622950819674,0.0017938866284763488,-0.23493886399135805
balls,3,2587.0,2212.0,0.08496452968996322,0.08611695086817722,0.7124081948202551,0.46338155515370705,0.0011524211782139998,-0.24902663966654803
balls,0,13575.0,11450.0,0.445842091434577,0.44576812271276184,0.7048250460405157,0.47458515283842795,-7.396872181514302e-05,-0.2302398932020877
balls,2,5302.0,4399.0,0.17413294797687862,0.17126060889200342,0.7227461335345152,0.4776085473971357,-0.0028723390848751917,-0.24513758613737952
batter_hand,2,15621.0,15769.0,0.5130386232264845,0.613914194502842,0.7069329748415595,0.4756801319043693,0.10087557127635749,-0.23125284293719017
batter_hand,1,14827.0,9917.0,0.4869613767735155,0.386085805497158,0.7106629796991975,0.46848845416960777,-0.10087557127635749,-0.24217452552958968
count_state,1-2,2588.0,2260.0,0.0849973725696269,0.08798567312933116,0.6885625965996909,0.4663716814159292,0.0029883005597042545,-0.22219091518376166
count_state,2-0,1181.0,1045.0,0.038787440882816604,0.04068364089387215,0.7358171041490262,0.4688995215311005,0.001896200011055546,-0.26691758261792575
count_state,3-0,403.0,371.0,0.013235680504466631,0.014443665810168963,0.7022332506203474,0.4339622641509434,0.0012079853057023315,-0.26827098646940395
count_state,1-0,3304.0,2818.0,0.10851287440882816,0.10970956941524566,0.7091404358353511,0.4755145493257629,0.001196695006417503,-0.2336258865095882
count_state,0-0,8082.0,6832.0,0.2654361534419338,0.26598146850424353,0.7074981440237565,0.47497072599531615,0.0005453150623097591,-0.2325274180284404
count_state,3-1,758.0,639.0,0.024894902785076195,0.024877365101611773,0.7427440633245382,0.458528951486698,-1.753768346442197e-05,-0.28421511183784026
count_state,3-2,1426.0,1202.0,0.046833946400420386,0.04679591995639648,0.6991584852734923,0.4750415973377704,-3.802644402390448e-05,-0.22411688793572193
count_state,0-2,1787.0,1503.0,0.058690225959012084,0.05851436580238262,0.6916620033575825,0.46174318030605455,-0.00017586015662946625,-0.229918823051528
count_state,0-1,3706.0,3115.0,0.12171571203363112,0.12127228840613564,0.7053426875337291,0.4799357945425361,-0.0004434236274954706,-0.225406892991193
count_state,2-2,2386.0,1952.0,0.07836311087756175,0.07599470528692673,0.7154233025984912,0.4723360655737705,-0.002368405590635017,-0.24308723702472068
count_state,1-1,3092.0,2547.0,0.10155018392012612,0.09915907498248074,0.7153945666235446,0.4683941892422458,-0.002391108937645381,-0.24700037738129882
count_state,2-1,1735.0,1402.0,0.05698239621650026,0.054582262711204546,0.7239193083573487,0.4914407988587732,-0.0024001335052957137,-0.23247850949857557
inning_bucket,4-6,10216.0,9012.0,0.3355228586442459,0.35085260453165146,0.7150548159749412,0.4647137150466045,0.015329745887405544,-0.2503411009283367
inning_bucket,10+,80.0,141.0,0.002627430373095113,0.005489371642139687,0.625,0.44680851063829785,0.0028619412690445737,-0.17819148936170215
inning_bucket,1-3,10671.0,8906.0,0.3504663688912244,0.3467258428716032,0.6969356199044139,0.4747361329440826,-0.0037405260196212153,-0.22219948696033126
inning_bucket,7-9,9481.0,7627.0,0.3113833420914346,0.2969321809546056,0.7159582322539817,0.480923036580569,-0.014451161136828983,-0.2350351956734127
month,8,3410.0,4435.0,0.1119942196531792,0.17266215058786888,0.6868035190615835,0.4624577226606539,0.06066793093468968,-0.22434579640092966
month,6,4506.0,4466.0,0.14799001576458223,0.17386903371486412,0.715046604527297,0.4755933721450963,0.025879017950281885,-0.23945323238220068
month,5,5884.0,5612.0,0.19324750394114557,0.21848477769991434,0.7219578518014956,0.47327156094084105,0.025237273758768775,-0.24868629086065458
month,4,5315.0,4457.0,0.17455990541250657,0.17351864829089778,0.7505174035747884,0.49360556428090646,-0.0010412571216087962,-0.2569118392938819
month,7,4508.0,3011.0,0.14805570152390962,0.11722339017363545,0.6759094942324756,0.46662238458983724,-0.030832311350274172,-0.20928710964263836
month,10,968.0,0.0,0.031791907514450865,0.0,0.7076446280991735,0.0,-0.031791907514450865,-0.7076446280991735
month,9,5857.0,3705.0,0.19236074619022595,0.14424199953281944,0.6909680723920095,0.46180836707152495,-0.04811874665740651,-0.22915970532048457
strikes,0,12970.0,11066.0,0.4259721492380452,0.4308183446235303,0.710331534309946,0.4731610337972167,0.004846195385485086,-0.2371705005127293
strikes,2,8187.0,6917.0,0.26888465580662113,0.269290664175037,0.6989129107121046,0.46855573225386726,0.00040600836841586663,-0.23035717845823733
strikes,1,9291.0,7703.0,0.3051431949553337,0.2998909912014327,0.7152082660639328,0.4764377515253797,-0.005252203753901008,-0.23877051453855314
