strategy,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_alpha_R,mean_alpha_F,std_alpha_R,std_alpha_F,brier_2023,f_brier_2023
volatility_k_5,0.24938408367907375,0.0020098437828905543,0.25098718620897087,1,0.0003403794791942971,0.9116847799816744,0.5486637056524614,0.005494591682035975,0.05931860819087075,0.25098718620897087,0.261248807404761
sample_size_lambda_50000,0.24940794131408225,0.0021818898399954116,0.2511197741163447,1,0.00031652184418580936,0.9436031531516007,0.6671194429395704,0.013726874519635085,0.06281666951707762,0.2511197741163447,0.26243456807274446
volatility_k_10,0.2494306993066094,0.0015769492826854306,0.25067495612799684,1,0.0002937638516586442,0.8377340627351444,0.3795936533669834,0.009268462916329141,0.05701841421747108,0.25067495612799684,0.25841586171897774
sample_size_lambda_100000,0.24944732455634566,0.0017556603488530387,0.25080618573102337,1,0.0002771386019223924,0.8934404408057409,0.5027097206342064,0.02453400062849535,0.07004830142838397,0.25080618573102337,0.259553932709632
volatility_k_20,0.24948924538469905,0.001193772769692371,0.2504193484657188,1,0.00023521777356902418,0.7208494130774789,0.23528870624776518,0.013700777921841606,0.04393090554809756,0.2504193484657188,0.25613148589993473
sample_size_lambda_300000,0.24952446084740745,0.0011377156131597852,0.2503890854238047,1,0.00020000231086059195,0.7378212455401503,0.25448600242237546,0.049676197485319935,0.05232118640787535,0.2503890854238047,0.25582082689349384
sample_vol_lambda_100000_k_10,0.2495423756970138,0.0010303006887178569,0.2503450459345144,1,0.0001820874612542822,0.7486170840131484,0.19023532115276456,0.028786362124473584,0.03453162624159954,0.2503450459345144,0.2553899108403849
volatility_k_50,0.24956469164540432,0.0008509151900271541,0.25022434832229185,1,0.00015977151286375446,0.5082602280656129,0.11007871975783096,0.01697229602932743,0.024078467057337245,0.25022434832229185,0.25430093538950294
sample_vol_lambda_100000_k_20,0.24957333837191156,0.0008504555151591669,0.2502333218870957,1,0.0001511247863564639,0.6442600994295904,0.11786224006389463,0.029857217609401642,0.02491312054712091,0.2502333218870957,0.2544027679273913
fixed_alpha_0.15,0.24957582981800605,0.0009388740307396195,0.2503142480388093,1,0.00014863334026200362,0.15,0.15,0.0,0.0,0.2503142480388093,0.2544578784536568
sample_vol_lambda_300000_k_10,0.24958995182586288,0.000783616582304791,0.25019594028493625,2,0.00013451133240514426,0.6184048888242515,0.09608673246517098,0.04836718976938768,0.020861010432673653,0.25019594028493625,0.2540527485157675
sample_vol_lambda_300000_k_20,0.2496097817207421,0.000695593003347811,0.25014966899741453,2,0.00011468143752594677,0.5323117053826857,0.05950713141104222,0.045792225787563944,0.014266107558157203,0.25014966899741453,0.2536012978521739
sample_vol_lambda_100000_k_50,0.24961376327352744,0.0006888587706617336,0.25015163998268347,2,0.00011069988474061525,0.45437780440121256,0.055123874706790144,0.02755066436339938,0.01323201254416882,0.25015163998268347,0.25356299051053205
fixed_alpha_0.10,0.24962167783741354,0.0008096847431514155,0.25027280756232806,1,0.00010278532085450376,0.10000000000000002,0.10000000000000002,0.0,0.0,0.25027280756232806,0.25388884892569
sample_vol_lambda_300000_k_50,0.2496386093945068,0.0006156520430429548,0.25012449449607327,3,8.585376376126404e-05,0.3755672650003005,0.02782243634888092,0.03762129029984305,0.007329715700445155,0.25012449449607327,0.25320201188793
fixed_alpha_0.05,0.24967122228416758,0.000680582398762614,0.2502366616591451,1,5.3240874100477877e-05,0.05000000000000001,0.05000000000000001,0.0,0.0,0.2502366616591451,0.25335204003007467
current_best_global_prior_w075,0.24972446315826805,0.0005522599298718376,0.2502058103292603,0,0.0,0.0,0.0,0.0,0.0,0.2502058103292603,0.2528474517668106
