feature,mean_importance,max_importance,count_top40
rf_pitcher_plus_batter,0.6086963311444451,1.169912673916305,12
rf_success_minus_reverse,0.4432006233717665,0.7361413605976608,11
rf_success_minus_middle,0.44308970616478616,0.8453542174872006,9
rf_recent_trend,0.4192239863434116,0.6594404967352733,8
rf_short_vs_medium,0.37863354406088057,0.46340626015840347,2
rf_success_plus_reverse,0.37767057176464713,0.49446685039204,4
rf_prev1_minus_prev5,0.37527953510063206,0.4946070578365022,8
rf_prev1_minus_career,0.34702708260124704,0.4771562698497701,16
rf_recent_mean_minus_career,0.3278599926923955,0.5314263881250822,9
rf_non_success_command_gap,0.31665477052176194,0.43012278926799963,4
rf_prev3_dev_x_late,0.31520071866981847,0.3408901767530229,2
rf_prev5_minus_career,0.28054177048968754,0.28054177048968754,1
rf_prev3_minus_career,0.2692716835678575,0.3203913017829885,4
rf_medium_vs_long,0.26894742098550417,0.26894742098550417,1
