stage,config_name,valid_year,rank,feature,importance
stage1,baseline_current,2022,1,te_pitcher_id__balls_before__strikes_before_delta,14.561772357971087
stage1,baseline_current,2022,2,te_pitcher_id__balls_before__strikes_before,8.355481555949165
stage1,baseline_current,2022,3,te_pitcher_id__base_state_delta,7.242098451754883
stage1,baseline_current,2022,4,te_pitcher_id__game_type,6.275728200933284
stage1,baseline_current,2022,5,te_batter_id__pitcher_hand,5.53961499170985
stage1,baseline_current,2022,6,te_pitcher_id__base_state,5.117511866462933
stage1,baseline_current,2022,7,te_batter_id__pitcher_hand_delta,4.586701743806705
stage1,baseline_current,2022,8,te_pitcher_id_delta,4.289675815623892
stage1,baseline_current,2022,9,te_pitcher_id,3.756174734051901
stage1,baseline_current,2022,10,te_pitcher_id__game_type_delta,3.2418989224133066
stage1,baseline_current,2022,11,te_batter_team_id,2.1496872331484465
stage1,baseline_current,2022,12,game_type_code,1.821693810790356
stage1,baseline_current,2022,13,te_pitcher_id__batter_hand,1.6998114092398067
stage1,baseline_current,2022,14,te_pitcher_id__batter_hand_delta,1.6840872757248344
stage1,baseline_current,2022,15,te_balls_before__strikes_before__game_type_delta,1.5982844283821942
stage1,baseline_current,2022,16,base_state_code,1.4845693887821856
stage1,baseline_current,2022,17,te_balls_before__strikes_before__game_type,1.4463620646094941
stage1,baseline_current,2022,18,season,1.3514440172041964
stage1,baseline_current,2022,19,te_batter_team_id_delta,1.2401816348918857
stage1,baseline_current,2022,20,pitcher_id_code,1.1537179932438428
stage1,baseline_current,2022,21,te_game_type_delta,1.1385105514366527
stage1,baseline_current,2022,22,te_season_delta,1.109046775713636
stage1,baseline_current,2022,23,asof_pitcher_pitchmix_n,1.0121731821435747
stage1,baseline_current,2022,24,game_month,1.002547433685163
stage1,baseline_current,2022,25,asof_pitcher_success_rate,0.9137877747285422
stage1,baseline_current,2022,26,asof_pitcher_success_minus_global,0.9063979086106236
stage1,baseline_current,2022,27,asof_pitcher_n,0.8887532671268571
stage1,baseline_current,2022,28,asof_batter_success_rate,0.7755189936137077
stage1,baseline_current,2022,29,runner_on_3b,0.7122879278506604
stage1,baseline_current,2022,30,balls_before,0.6517880414544477
stage1,baseline_current,2023,1,te_pitcher_id__balls_before__strikes_before,12.179094881880562
stage1,baseline_current,2023,2,te_pitcher_id__balls_before__strikes_before_delta,9.49263469277273
stage1,baseline_current,2023,3,te_pitcher_id__game_type,7.688570087405468
stage1,baseline_current,2023,4,te_pitcher_id__base_state,6.379468187286415
stage1,baseline_current,2023,5,te_pitcher_id__game_type_delta,5.7114373833257
stage1,baseline_current,2023,6,te_pitcher_id_delta,5.576804085018127
stage1,baseline_current,2023,7,te_pitcher_id__base_state_delta,4.776452800241429
stage1,baseline_current,2023,8,te_batter_id__pitcher_hand,4.7541126525484545
stage1,baseline_current,2023,9,te_pitcher_id,4.74656682004886
stage1,baseline_current,2023,10,te_balls_before__strikes_before__game_type_delta,3.4776996017565334
stage1,baseline_current,2023,11,te_batter_id__pitcher_hand_delta,3.4346517736662365
stage1,baseline_current,2023,12,game_type_code,2.1157145651820772
stage1,baseline_current,2023,13,te_season,2.11292617072452
stage1,baseline_current,2023,14,te_season_delta,1.802228096889387
stage1,baseline_current,2023,15,te_pitcher_id__batter_hand_delta,1.7288417460163672
stage1,baseline_current,2023,16,te_batter_team_id_delta,1.5626957667003896
stage1,baseline_current,2023,17,te_balls_before__strikes_before__game_type,1.3497571753063708
