candidate_id,candidate_type,weights,mean_auc,mean_brier,worst_skill_margin,overall_auc,overall_brier,overall_skill_margin
blend2__A_v2_base__0.0__B_tuned_base__1.0,two_model_blend,A_v2_base:0.000;B_tuned_base:1.000,0.520375678539629,0.2497461826788273,-0.0005889935297206661,0.5200832504050341,0.24974410600587946,0.0002323265709638922
blend2__A_v2_base__0.1__B_tuned_base__0.9,two_model_blend,A_v2_base:0.100;B_tuned_base:0.900,0.5202984876655452,0.24974741161154937,-0.0005868504284987919,0.5200358231797337,0.24974534370184495,0.00023108887499839748
blend2__A_v2_base__0.2__B_tuned_base__0.8,two_model_blend,A_v2_base:0.200;B_tuned_base:0.800,0.5202113108748033,0.24974870053021023,-0.000584726611458114,0.519972689415331,0.24974664110844533,0.00022979146839802178
blend2__A_v2_base__0.3__B_tuned_base__0.7,two_model_blend,A_v2_base:0.300;B_tuned_base:0.700,0.5201224511044727,0.24975004770189665,-0.000582675858139009,0.5199108277148967,0.24974799634317355,0.00022843623366980426
blend2__A_v2_base__0.4__B_tuned_base__0.6,two_model_blend,A_v2_base:0.400;B_tuned_base:0.600,0.520036091590781,0.24975145099383636,-0.0005806318563736645,0.5198435350044203,0.24974940746219843,0.00022702511464492425
blend2__A_v2_base__0.5__B_tuned_base__0.5,two_model_blend,A_v2_base:0.500;B_tuned_base:0.500,0.5199299576767797,0.2497528989979636,-0.0005785617713538194,0.5197745802517236,0.24975086323215628,0.00022556934468706547
blend2__A_v2_base__0.6__B_tuned_base__0.4,two_model_blend,A_v2_base:0.600;B_tuned_base:0.400,0.5198293628993151,0.24975437528440395,-0.0005764256885240904,0.5197041795741966,0.24975234740989155,0.00022408516695179848
blend2__A_v2_base__0.7__B_tuned_base__0.3,two_model_blend,A_v2_base:0.700;B_tuned_base:0.300,0.5197322515610533,0.24975591335337097,-0.0005742875003316994,0.5196503141992281,0.24975389311901597,0.00022253945782738094
blend2__A_v2_base__0.8__B_tuned_base__0.2,two_model_blend,A_v2_base:0.800;B_tuned_base:0.200,0.5196370203151353,0.24975750454732734,-0.0005721793971928124,0.5195908853305105,0.24975549166526503,0.00022094091157831564
blend2__A_v2_base__0.9__B_tuned_base__0.1,two_model_blend,A_v2_base:0.900;B_tuned_base:0.100,0.5195386381686121,0.24975916050512748,-0.0005701231094285275,0.5195188435577685,0.24975715458186099,0.00021927799498236422
