model_a,model_b,scope,squared_error_corr,model_a_better_row_rate,model_b_better_row_rate,tie_row_rate,both_worse_than_constant_row_rate,both_wrong_top_decile_error_rate
A_v2_base,B_tuned_base,overall,0.9974745856262942,0.42118595479729515,0.4331644572567595,0.14739237833956684,0.4784274431215372,0.09565655374920964
A_v2_base,B_tuned_base,2022,0.9939144298837559,0.4330227258033232,0.45681127561905993,0.11135401176698778,0.5021820650417017,0.09265290618736666
A_v2_base,B_tuned_base,2023,0.9981988826893439,0.339879849302515,0.3319213929335098,0.3288219122288973,0.5000427655024946,0.09423073006822116
A_v2_base,B_tuned_base,2024,0.9987823379608535,0.4883770467876627,0.5081358700154236,0.006855826466330318,0.476890184491947,0.09429325422966624
A_v2_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,overall,0.9967285072035872,0.4257003311435706,0.4323459753732063,0.14378891472785144,0.4786390963745673,0.09460632494936397
A_v2_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2022,0.9938633575425118,0.4444017909096787,0.4497882588737312,0.10696967737764272,0.5033781599534493,0.09256400724122325
A_v2_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2023,0.9970930332064661,0.3350534568781183,0.34371652581203543,0.3217880052947765,0.5000427655024946,0.09205579879849303
A_v2_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2024,0.9987859429419518,0.49523681791824287,0.5011577589573464,0.007337075504818408,0.4771623663251902,0.0940723530316717
A_v2_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,overall,0.9969081358290751,0.41875997985275365,0.4368081081949996,0.14612111924383525,0.47764111109920376,0.09495595469012892
A_v2_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2022,0.9934226735360737,0.42814944721018944,0.4601571086830025,0.11286933471261396,0.5004404538695286,0.09298425680481025
A_v2_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2023,0.9975303101020547,0.33763160574279605,0.33972100600753485,0.3233234904795846,0.5000427655024946,0.09271968231341005
A_v2_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2024,0.998684536598669,0.48816797958241787,0.5080451427376759,0.00695838773682778,0.476969077776945,0.09410391034567092
B_tuned_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,overall,0.996986338458196,0.4299990355041634,0.4228416726501131,0.14917133732706053,0.4781246985950511,0.09494121933706987
B_tuned_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2022,0.9937402891789424,0.45244714553565657,0.4337864485679188,0.11490592875153553,0.5026992952738087,0.09321054503135709
B_tuned_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2023,0.9974748476278197,0.32899297423887586,0.3416841462172895,0.32990937786376134,0.5000427655024946,0.0936727420832909
B_tuned_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2024,0.999019103206918,0.5059110793784787,0.4907596239946037,0.007573755359812549,0.4792767063631379,0.0950506297656475
B_tuned_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,overall,0.9980801824282991,0.4178035214814656,0.42878135951046475,0.15593486438116874,0.4791039297847031,0.09572621178185248
B_tuned_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2022,0.9966576365838417,0.42753927717075063,0.4450483286998125,0.1287458783215879,0.5036610202366328,0.0947420314217366
B_tuned_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2023,0.9982141947618803,0.3279543834640057,0.3379533652377558,0.3347072599531616,0.5000427655024946,0.0950208736381224
B_tuned_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2024,0.999378459661949,0.4953196558674908,0.5008697984671034,0.009333075615269006,0.481655338905829,0.09566599738863227
C_stable_reconstructed_A_recent_vs_longterm_v2_params,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,overall,0.9972425542376527,0.4191511364975941,0.43349667248936374,0.1493682552270316,0.477517869964528,0.09545963584923858
C_stable_reconstructed_A_recent_vs_longterm_v2_params,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2022,0.9938506457467778,0.42782213745393416,0.4558010603219758,0.1174637938837525,0.5009617249628241,0.09326711708799379
C_stable_reconstructed_A_recent_vs_longterm_v2_params,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2023,0.9978461353457837,0.3389227166276347,0.3342144384482232,0.3275878220140515,0.5000427655024946,0.09338763873332655
C_stable_reconstructed_A_recent_vs_longterm_v2_params,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2024,0.9989448934428332,0.48838888078041237,0.50787946683918,0.007905107156804349,0.48083484874184934,0.09520052700714379
