model_a,model_b,scope,pearson_corr,spearman_corr,prediction_diff_std,mean_abs_prediction_diff
A_v2_base,B_tuned_base,overall,0.9918719253375599,0.9896986840209765,0.007878410294304482,0.005874022241965565
A_v2_base,B_tuned_base,2022,0.9885837227137603,0.9861934942050732,0.008606364687490738,0.006452508627150362
A_v2_base,B_tuned_base,2023,0.993970027226567,0.9935283294787466,0.006811574514567842,0.005007533500397688
A_v2_base,B_tuned_base,2024,0.9928571072243179,0.9901510913856659,0.007836378715036523,0.0061485135402689715
A_v2_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,overall,0.9908975259383094,0.9887959701491027,0.00833759957345733,0.006321175157991848
A_v2_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2022,0.9878206916455129,0.9861758239950064,0.008912396232060868,0.006667392134333176
A_v2_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2023,0.991303485335371,0.9889548054435007,0.008178315293047031,0.006132736584159362
A_v2_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2024,0.9929413176879318,0.9903164703498264,0.0077924074657540095,0.006165705578339533
A_v2_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,overall,0.9911648403202133,0.9894134175281255,0.00821123351493322,0.006104399868752062
A_v2_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2022,0.9881677713306124,0.9860080056280532,0.00884788569942788,0.006718065947172386
A_v2_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2023,0.9919470857864143,0.9905073195227385,0.007873008286117126,0.005799565832946345
A_v2_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2024,0.9929931591657472,0.9907356659493342,0.007775836738389425,0.0058005786917524685
B_tuned_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,overall,0.9919117465733774,0.9899518146722414,0.007834247841114788,0.0058278312915850715
B_tuned_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2022,0.9880397401799974,0.9859897975267203,0.008831870200604313,0.006612818343050035
B_tuned_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2023,0.9924224709828129,0.990524339924995,0.007616197541888589,0.0058733570236356196
B_tuned_base,C_stable_reconstructed_A_recent_vs_longterm_v2_params,2024,0.9943719553566147,0.9928071412518655,0.006912171253136731,0.005017439385397675
B_tuned_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,overall,0.9954944769148095,0.9935459980117366,0.005841452237702052,0.004544693719661297
B_tuned_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2022,0.9941167290466404,0.9925292343527883,0.006260500731781037,0.004852722569532119
B_tuned_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2023,0.9953384328834929,0.9931832882122352,0.005975149825796716,0.004769035433569285
B_tuned_base,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2024,0.9969716883412757,0.995882186982628,0.00507924879565536,0.004026719798457972
C_stable_reconstructed_A_recent_vs_longterm_v2_params,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,overall,0.9922485709580786,0.9909956461559435,0.007664136321220355,0.005726241227442734
C_stable_reconstructed_A_recent_vs_longterm_v2_params,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2022,0.9886631707652449,0.9870553639940808,0.008663392344981119,0.006669889533050126
C_stable_reconstructed_A_recent_vs_longterm_v2_params,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2023,0.9930960977092587,0.9918812426453034,0.007258402954781664,0.0054564980771523944
C_stable_reconstructed_A_recent_vs_longterm_v2_params,D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,2024,0.9943747289653143,0.9937860642237424,0.006888695438444427,0.005066307393228149
