candidate_name,valid_year,segment_type,segment,n,skill_margin,delta_brier_vs_v2,auc
C_PITCHER_GAME_logitblend100,2023,sample_bucket,lt25,34667,-0.0011086001407481783,-4.870682248181435e-05,0.4938879224462175
C_PITCHER_GAME_logitblend100,2023,sample_bucket,25_49,589,-0.009602778486455937,-2.393201928591049e-05,0.4768412170081103
C_PITCHER_GAME_logitblend100,2023,sample_bucket,50_99,2866,-0.005126153179099507,0.00041534329646847334,0.49158978078469606
C_PITCHER_GAME_logitblend100,2023,sample_bucket,100_299,7740,-0.0027690547125557574,-0.0004173676053371156,0.5207896853704882
C_PITCHER_GAME_logitblend100,2023,sample_bucket,300_plus,199663,-0.0001487084360091151,-0.00019000034736016413,0.5260597977941125
C_PITCHER_GAME_logitblend100,2023,game_type,F,25686,-0.004993491332828892,-0.00013707439537813393,0.5045269244744957
C_PITCHER_GAME_logitblend100,2023,game_type,R,219839,4.3121095830822576e-05,-0.0001735716282700861,0.530240311626986
C_PITCHER_GAME_logitblend100,2023,batter_hand,1,118462,-0.0002820768359165504,-0.0001311868567185348,0.5210104006275702
C_PITCHER_GAME_logitblend100,2023,batter_hand,2,127063,-0.0005127155977254494,-0.00020570936217750857,0.5218858206471028
C_PITCHER_GAME_logitblend100,2023,coverage,fallback_parent,37049,-0.0012275385552999452,5.798095066622544e-06,0.4941203434453025
C_PITCHER_GAME_logitblend100,2023,coverage,full_hierarchy,208476,-0.0002539335391997799,-0.00020095128327035638,0.5250699178112513
C_PITCHER_GAME_logitblend300,2023,sample_bucket,lt25,34667,-0.0011019256024715485,-5.538136075844413e-05,0.4942599892281383
C_PITCHER_GAME_logitblend300,2023,sample_bucket,25_49,589,-0.00962116082914763,-5.549676594218678e-06,0.4746730111105902
C_PITCHER_GAME_logitblend300,2023,sample_bucket,50_99,2866,-0.004844296145171206,0.00013348626254017226,0.49354080286283675
C_PITCHER_GAME_logitblend300,2023,sample_bucket,100_299,7740,-0.0029093433182739437,-0.00027707899961892934,0.5177014915821021
C_PITCHER_GAME_logitblend300,2023,sample_bucket,300_plus,199663,-0.00015307190359359346,-0.00018563687977568577,0.526211473642234
C_PITCHER_GAME_logitblend300,2023,game_type,F,25686,-0.00503039575257308,-0.00010016997563394581,0.5048670564276341
C_PITCHER_GAME_logitblend300,2023,game_type,R,219839,4.320857515335841e-05,-0.00017365910759262193,0.5304421371113921
C_PITCHER_GAME_logitblend300,2023,batter_hand,1,118462,-0.0002790626883909797,-0.00013420100424410553,0.5212391320013685
C_PITCHER_GAME_logitblend300,2023,batter_hand,2,127063,-0.0005228346528630412,-0.00019559030703991676,0.5217352487556902
C_PITCHER_GAME_logitblend300,2023,coverage,fallback_parent,37049,-0.0012019114459767,-1.9829014256622646e-05,0.49446183844685576
C_PITCHER_GAME_logitblend300,2023,coverage,full_hierarchy,208476,-0.00026294251065012153,-0.00019194231182001475,0.5250502206368288
C_PITCHER_GAME_probblend100,2023,sample_bucket,lt25,34667,-0.001109108830377764,-4.8198132852228515e-05,0.4938933128371333
C_PITCHER_GAME_probblend100,2023,sample_bucket,25_49,589,-0.009600762137205315,-2.5948368536532485e-05,0.47673573672120384
C_PITCHER_GAME_probblend100,2023,sample_bucket,50_99,2866,-0.0051239712562304585,0.0004131613735994244,0.4916088676681897
C_PITCHER_GAME_probblend100,2023,sample_bucket,100_299,7740,-0.00276745170746559,-0.0004189706104272828,0.5207910577374182
C_PITCHER_GAME_probblend100,2023,sample_bucket,300_plus,199663,-0.0001489126706090138,-0.00018979611276026542,0.5260519647832246
C_PITCHER_GAME_probblend100,2023,game_type,F,25686,-0.004993145802900556,-0.00013741992530647007,0.5044007617423447
C_PITCHER_GAME_probblend100,2023,game_type,R,219839,4.2905302281820434e-05,-0.00017335583472108396,0.5302371558955428
C_PITCHER_GAME_probblend100,2023,batter_hand,1,118462,-0.0002823646793786161,-0.00013089901325646913,0.5210025922116569
C_PITCHER_GAME_probblend100,2023,batter_hand,2,127063,-0.0005127507459911362,-0.00020567421391182172,0.5218903974750478
C_PITCHER_GAME_probblend100,2023,coverage,fallback_parent,37049,-0.0012277193581388124,5.978897905489777e-06,0.494129476828999
C_PITCHER_GAME_probblend100,2023,coverage,full_hierarchy,208476,-0.00025408639128776667,-0.00020079843118236962,0.5250661899718623
V2_BASELINE,2023,sample_bucket,lt25,1644,-0.002987456068486577,0.0,0.49305008149355456
V2_BASELINE,2023,sample_bucket,25_49,1547,-0.005936614049341898,0.0,0.49783926924035204
V2_BASELINE,2023,sample_bucket,50_99,2825,-0.00572730314167294,0.0,0.5043904585517069
V2_BASELINE,2023,sample_bucket,100_299,10992,-0.003722593469861757,0.0,0.5062308260328214
V2_BASELINE,2023,sample_bucket,300_plus,228517,-0.00038600387298046157,0.0,0.5170530608580423
V2_BASELINE,2023,game_type,F,25686,-0.005130565728207026,0.0,0.5089485881804409
V2_BASELINE,2023,game_type,R,219839,-0.00013045053243926352,0.0,0.5228209345170232
V2_BASELINE,2023,batter_hand,1,118462,-0.0004132636926350852,0.0,0.5156075396292243
V2_BASELINE,2023,batter_hand,2,127063,-0.000718424959902958,0.0,0.5154303844549843
V2_BASELINE,2023,coverage,fallback_parent,245525,-0.000568030179884188,0.0,0.5153704840527471
