candidate_name,valid_year,context,context_value,n,auc,prediction_std
A_CLASSIFIER,2022,game_type,F,30448,0.5175284593145142,0.01111399453472217
A_CLASSIFIER,2022,game_type,R,217024,0.5236006913400935,0.01084604384950335
A_CLASSIFIER,2022,count_state,0-0,64084,0.536740510990309,0.010761299108248615
A_CLASSIFIER,2022,count_state,0-1,31161,0.5330890527492335,0.011056802642208555
A_CLASSIFIER,2022,count_state,0-2,15595,0.5233584322047207,0.010779790470473312
A_CLASSIFIER,2022,count_state,1-0,25393,0.5384000629018175,0.01106270162808934
A_CLASSIFIER,2022,count_state,1-1,25225,0.5311754522331231,0.01069791318730788
A_CLASSIFIER,2022,count_state,1-2,23740,0.520895079318728,0.01077734944124094
A_CLASSIFIER,2022,count_state,2-0,8700,0.5305266407343028,0.010812627573158474
A_CLASSIFIER,2022,count_state,2-1,13114,0.5310975517578667,0.011410367197093263
A_CLASSIFIER,2022,count_state,2-2,20240,0.5285272753295427,0.011254330021921019
A_CLASSIFIER,2022,count_state,3-0,2809,0.5162963402379135,0.011067775683909153
A_CLASSIFIER,2022,count_state,3-1,5605,0.5289965385936113,0.011027449193631021
A_CLASSIFIER,2022,count_state,3-2,11806,0.5325684519122954,0.011622106143626833
A_CLASSIFIER,2022,pitcher_bucket,lt50,4074,0.5304339152485951,0.006470831217397385
A_CLASSIFIER,2022,pitcher_bucket,50_300,16327,0.5150537991457846,0.0075203187758326046
A_CLASSIFIER,2022,pitcher_bucket,300_1000,39788,0.5252497859958722,0.009064995479047122
A_CLASSIFIER,2022,pitcher_bucket,1000_plus,187283,0.534538310875922,0.01166088140210261
A_CLASSIFIER,2023,game_type,F,25686,0.5089485881804409,0.006619115203124979
A_CLASSIFIER,2023,game_type,R,219839,0.5228209345170232,0.013501180075921868
A_CLASSIFIER,2023,count_state,0-0,63138,0.5174646102731227,0.01415965076766106
A_CLASSIFIER,2023,count_state,0-1,30327,0.5123598518912307,0.014002067076635557
A_CLASSIFIER,2023,count_state,0-2,14526,0.5060403321728197,0.013991920527271263
A_CLASSIFIER,2023,count_state,1-0,25591,0.516767774574937,0.01453050603155499
A_CLASSIFIER,2023,count_state,1-1,25293,0.5097998498600371,0.014033136079096929
A_CLASSIFIER,2023,count_state,1-2,23456,0.5150027684068226,0.014212842103149948
A_CLASSIFIER,2023,count_state,2-0,8774,0.5202877104983273,0.014499664070511219
A_CLASSIFIER,2023,count_state,2-1,13479,0.5229362565181224,0.014631279440917496
A_CLASSIFIER,2023,count_state,2-2,20380,0.5133875501616416,0.014365923191439343
A_CLASSIFIER,2023,count_state,3-0,2858,0.484324162491866,0.014158824138946839
A_CLASSIFIER,2023,count_state,3-1,5807,0.5147527052338771,0.014536688293124097
A_CLASSIFIER,2023,count_state,3-2,11896,0.5152626180430141,0.014550629003628376
A_CLASSIFIER,2023,pitcher_bucket,lt50,3191,0.4964440544637937,0.01122227976130412
A_CLASSIFIER,2023,pitcher_bucket,50_300,13817,0.5061057576427266,0.011587109018984234
A_CLASSIFIER,2023,pitcher_bucket,300_1000,28132,0.4970151404843575,0.01134173267517641
A_CLASSIFIER,2023,pitcher_bucket,1000_plus,200385,0.5197609373796136,0.014769903469428702
A_CLASSIFIER,2024,game_type,F,30010,0.5111297025471725,0.005905128357217092
A_CLASSIFIER,2024,game_type,R,223497,0.5202042463645757,0.003976149682580609
A_CLASSIFIER,2024,count_state,0-0,65317,0.5127576618368055,0.005668918226061528
A_CLASSIFIER,2024,count_state,0-1,31402,0.499782995569144,0.005348620650785111
A_CLASSIFIER,2024,count_state,0-2,16155,0.5106261478333466,0.005471447316340928
A_CLASSIFIER,2024,count_state,1-0,26438,0.5075803765906225,0.005860395609316115
A_CLASSIFIER,2024,count_state,1-1,25313,0.5159922616698135,0.0055115338883943025
A_CLASSIFIER,2024,count_state,1-2,24399,0.515515904330496,0.00510444926679385
A_CLASSIFIER,2024,count_state,2-0,9392,0.5110793761452953,0.005924208526360919
A_CLASSIFIER,2024,count_state,2-1,13446,0.5118691701259772,0.0058970618280785
A_CLASSIFIER,2024,count_state,2-2,20640,0.5106562850786733,0.0056105439257836485
A_CLASSIFIER,2024,count_state,3-0,3214,0.5008902382046346,0.005846506399045135
A_CLASSIFIER,2024,count_state,3-1,6020,0.5119350516646103,0.005926141159746235
A_CLASSIFIER,2024,count_state,3-2,11771,0.5004323848061611,0.005931425296752409
A_CLASSIFIER,2024,pitcher_bucket,lt50,4060,0.4863346665962375,0.0028498473749017207
A_CLASSIFIER,2024,pitcher_bucket,50_300,16578,0.4936920398552583,0.00427527686609289
A_CLASSIFIER,2024,pitcher_bucket,300_1000,38096,0.5033455243291686,0.005706217345739591
A_CLASSIFIER,2024,pitcher_bucket,1000_plus,194773,0.5159023018920321,0.0057073316565101175
B_QUERYRMSE_PITCHER_GAME,2022,game_type,F,30448,0.4859439005109644,3.733651158565853e-06
B_QUERYRMSE_PITCHER_GAME,2022,game_type,R,217024,0.4876190239502117,3.436069875104286e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,0-0,64084,0.49592193448868616,3.2913812468652678e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,0-1,31161,0.49932250388275234,3.3969088140069436e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,0-2,15595,0.5001958554350093,3.656121091342264e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,1-0,25393,0.4951552221203315,3.471120089534142e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,1-1,25225,0.5053874591212855,3.4062125532328136e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,1-2,23740,0.5017921095264428,3.509831623685692e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,2-0,8700,0.5052613727900963,3.6755043106011668e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,2-1,13114,0.5070964163891,3.726126789225158e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,2-2,20240,0.5043331986299028,3.607218214618966e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,3-0,2809,0.5091334341286429,4.370683133319867e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,3-1,5605,0.5140739999164452,3.855120347138518e-06
