candidate_name,features,feature_count
BASE,,0
A_LEVEL,tm_rel_height_longterm_mean;tm_rel_side_longterm_mean;tm_extension_longterm_mean;tm_rel_speed_longterm_mean;tm_spin_rate_longterm_mean;tm_induced_vert_break_longterm_mean;tm_horz_break_longterm_mean,7
B_RECENT_DELTA,tm_rel_height_recent2_minus_longterm;tm_rel_side_recent2_minus_longterm;tm_extension_recent2_minus_longterm;tm_rel_speed_recent2_minus_longterm;tm_spin_rate_recent2_minus_longterm;tm_induced_vert_break_recent2_minus_longterm;tm_horz_break_recent2_minus_longterm;tm_rel_height_recent1_minus_longterm;tm_rel_side_recent1_minus_longterm;tm_extension_recent1_minus_longterm,10
C_SLOPE,tm_rel_height_slope;tm_rel_side_slope;tm_extension_slope;tm_rel_speed_slope;tm_spin_rate_slope;tm_induced_vert_break_slope;tm_horz_break_slope,7
D_LEAGUE_RELATIVE,tm_rel_height_drift_relative_league;tm_rel_side_drift_relative_league;tm_extension_drift_relative_league;tm_rel_speed_drift_relative_league;tm_spin_rate_drift_relative_league;tm_induced_vert_break_drift_relative_league;tm_horz_break_drift_relative_league,7
E_PITCHTYPE_ADJUSTED,tm_rel_height_pitch_type_adjusted_drift;tm_rel_side_pitch_type_adjusted_drift;tm_extension_pitch_type_adjusted_drift;tm_rel_speed_pitch_type_adjusted_drift;tm_spin_rate_pitch_type_adjusted_drift;tm_induced_vert_break_pitch_type_adjusted_drift;tm_horz_break_pitch_type_adjusted_drift,7
F_RELIABILITY,tm_has_match;tm_history_pitch_count;tm_history_game_count;tm_history_season_count;tm_recent1_pitch_count;tm_recent2_pitch_count;tm_recent1_game_count;tm_drift_timepoints;tm_drift_reliability;tm_mapping_score,10
G_RELEASE_CORE,tm_rel_height_longterm_mean;tm_rel_height_recent2_minus_longterm;tm_rel_height_slope;tm_rel_height_drift_relative_league;tm_rel_side_longterm_mean;tm_rel_side_recent2_minus_longterm;tm_rel_side_slope;tm_rel_side_drift_relative_league;tm_extension_longterm_mean;tm_extension_recent2_minus_longterm;tm_extension_slope;tm_extension_drift_relative_league,12
H_MOVEMENT_CORE,tm_rel_speed_longterm_mean;tm_rel_speed_recent2_minus_longterm;tm_rel_speed_slope;tm_rel_speed_drift_relative_league;tm_spin_rate_longterm_mean;tm_spin_rate_recent2_minus_longterm;tm_spin_rate_slope;tm_spin_rate_drift_relative_league;tm_induced_vert_break_longterm_mean;tm_induced_vert_break_recent2_minus_longterm;tm_induced_vert_break_slope;tm_induced_vert_break_drift_relative_league;tm_horz_break_longterm_mean;tm_horz_break_recent2_minus_longterm;tm_horz_break_slope;tm_horz_break_drift_relative_league,16
I_RELEASE_PLUS_RELIABILITY,tm_rel_height_longterm_mean;tm_rel_height_recent2_minus_longterm;tm_rel_height_slope;tm_rel_height_drift_relative_league;tm_rel_side_longterm_mean;tm_rel_side_recent2_minus_longterm;tm_rel_side_slope;tm_rel_side_drift_relative_league;tm_extension_longterm_mean;tm_extension_recent2_minus_longterm;tm_extension_slope;tm_extension_drift_relative_league;tm_has_match;tm_history_pitch_count;tm_history_game_count;tm_history_season_count;tm_recent1_pitch_count;tm_recent2_pitch_count;tm_recent1_game_count;tm_drift_timepoints;tm_drift_reliability;tm_mapping_score,22
K_STABLE_TOP10,tm_rel_height_longterm_mean;tm_extension_longterm_mean;tm_rel_height_recent2_minus_longterm;tm_rel_side_recent2_minus_longterm;tm_extension_recent2_minus_longterm;tm_rel_height_slope;tm_rel_height_recent2_mean;tm_extension_slope;tm_extension_recent2_mean;tm_rel_side_slope;tm_has_match;tm_history_pitch_count;tm_history_game_count;tm_history_season_count;tm_recent1_pitch_count;tm_recent2_pitch_count;tm_recent1_game_count;tm_drift_timepoints;tm_drift_reliability;tm_mapping_score,20
J_BEST_COMBINATION,union of improving families,24
