candidate_name,valid_year,tm_has_match,n,actual_rate,brier,auc,prediction_std,base_auc,base_brier,delta_auc_vs_base,delta_brier_vs_base
BASE,2022,0,177333,0.5289088889264829,0.2489727115093668,0.5305983279960681,0.0106385560741556,0.5305983279960681,0.2489727115093668,0.0,0.0
BASE,2022,1,70139,0.5289496571094541,0.2488592622559562,0.5364247700728428,0.0118241082320571,0.5364247700728428,0.2488592622559562,0.0,0.0
BASE,2023,0,158067,0.4997690852613132,0.2506555900162356,0.5118187017454877,0.0137143616822116,0.5118187017454877,0.2506555900162356,0.0,0.0
BASE,2023,1,87458,0.5002972855542088,0.2504097739918813,0.5211592908640109,0.0152596192953759,0.5211592908640109,0.2504097739918813,0.0,0.0
BASE,2024,0,153989,0.4881712330101501,0.249895726847919,0.5032135324376336,0.0056168556941198,0.5032135324376336,0.249895726847919,0.0,0.0
BASE,2024,1,99518,0.4829076147028678,0.2495856405137162,0.5207690956954673,0.0055759233029724,0.5207690956954673,0.2495856405137162,0.0,0.0
A_LEVEL,2022,0,177333,0.5289088889264829,0.248959491958959,0.5314344409317815,0.0105650054960408,0.5305983279960681,0.2489727115093668,0.0008361129357133956,-1.321955040781142e-05
A_LEVEL,2022,1,70139,0.5289496571094541,0.2489062709905958,0.5340492237834743,0.0118021338838101,0.5364247700728428,0.2488592622559562,-0.0023755462893685353,4.700873463961419e-05
A_LEVEL,2023,0,158067,0.4997690852613132,0.2506821644835204,0.5102255931874112,0.0136113026472757,0.5118187017454877,0.2506555900162356,-0.0015931085580764837,2.6574467284767866e-05
A_LEVEL,2023,1,87458,0.5002972855542088,0.250415481299492,0.5210953961784928,0.0152333074494321,0.5211592908640109,0.2504097739918813,-6.389468551815103e-05,5.707307610680612e-06
A_LEVEL,2024,0,153989,0.4881712330101501,0.2498865899737664,0.5039908792109032,0.0055643854747944,0.5032135324376336,0.249895726847919,0.0007773467732696826,-9.136874152604335e-06
A_LEVEL,2024,1,99518,0.4829076147028678,0.249585828860312,0.5210014402049525,0.0054926776006112,0.5207690956954673,0.2495856405137162,0.00023234450948528274,1.883465957919217e-07
