cutoff_year,pitcher_trackman_id,pitcher_id,tm_history_pitch_count,tm_drift_timepoints,feature_value,feature_name
2024,67828,23312.0,2290,4,1.0814596818769249,tm_rel_side_recent2_minus_longterm
2024,69035,,562,4,0.5148898680810553,tm_rel_side_recent2_minus_longterm
2025,69035,,615,5,0.42105006674682455,tm_rel_side_recent2_minus_longterm
2024,79358,,2638,4,0.36452444738619877,tm_rel_side_recent2_minus_longterm
2025,50114,23942.0,579,3,0.3141724728572239,tm_rel_side_recent2_minus_longterm
2024,67828,23312.0,2290,4,39.07502408569292,tm_horz_break_recent2_minus_longterm
2025,68093,,1140,4,22.885685346028442,tm_horz_break_recent2_minus_longterm
2023,68109,23423.0,576,2,18.885008335140977,tm_horz_break_recent2_minus_longterm
2024,69035,,562,4,17.868319560399208,tm_horz_break_recent2_minus_longterm
2023,69984,,179,2,16.782485552742894,tm_horz_break_recent2_minus_longterm
2023,68109,23423.0,576,2,-0.39299528396135264,tm_rel_height_recent2_minus_longterm
2025,68093,,1140,4,0.3544575301314894,tm_rel_height_recent2_minus_longterm
2025,69703,22583.0,1805,5,0.3414052585233627,tm_rel_height_recent2_minus_longterm
2024,69703,22583.0,1714,4,0.24820205110293392,tm_rel_height_recent2_minus_longterm
2025,50592,,719,4,-0.22881140476190476,tm_rel_height_recent2_minus_longterm
2023,68804,,232,2,-9.047438328912435,tm_rel_speed_recent2_minus_longterm
2024,68804,,232,2,-9.047438328912435,tm_rel_speed_recent2_minus_longterm
2025,69745,,4361,5,8.100427202099297,tm_rel_speed_recent2_minus_longterm
2024,67828,23312.0,2290,4,7.262003272107364,tm_rel_speed_recent2_minus_longterm
2025,50105,,299,3,-6.8535127620288705,tm_rel_speed_recent2_minus_longterm
2024,66564,,79,1,2.1893901265822784,tm_rel_height_longterm_mean
2023,66564,,79,1,2.1893901265822784,tm_rel_height_longterm_mean
2022,66564,,79,1,2.1893901265822784,tm_rel_height_longterm_mean
2025,66564,,79,1,2.1893901265822784,tm_rel_height_longterm_mean
2025,69585,,149,1,2.1333316107382547,tm_rel_height_longterm_mean
2023,64995,,2077,4,-283.6762473469148,tm_spin_rate_recent2_minus_longterm
2024,50395,23934.0,209,3,-249.13801410105748,tm_spin_rate_recent2_minus_longterm
2023,69054,,967,3,-236.6862072826966,tm_spin_rate_recent2_minus_longterm
2022,61456,,1155,2,-208.8855666666666,tm_spin_rate_recent2_minus_longterm
2022,67640,23558.0,91,2,198.09659340659346,tm_spin_rate_recent2_minus_longterm
2022,623167,,2410,1,2.0795713094245203,tm_rel_height_recent2_mean
2022,521655,,2555,1,2.0459500355590676,tm_rel_height_recent2_mean
2023,521655,,5080,2,2.040671135145862,tm_rel_height_recent2_mean
2024,521655,24053.0,5080,2,2.0353438237639554,tm_rel_height_recent2_mean
