feature_name,physical_column,definition,cutoff_policy,uses_target,uses_current_pitch_type
tm_rel_height_longterm_mean,rel_height,longterm_mean,prior-season-only,False,False
tm_rel_height_recent1_mean,rel_height,recent1_mean,prior-season-only,False,False
tm_rel_height_recent1_minus_longterm,rel_height,recent1_minus_longterm,prior-season-only,False,False
tm_rel_height_slope,rel_height,slope,prior-season-only,False,False
tm_rel_height_recent_vs_old,rel_height,recent_vs_old,prior-season-only,False,False
tm_rel_height_abs_drift,rel_height,abs_drift,prior-season-only,False,False
tm_rel_height_drift_relative_league,rel_height,drift_relative_league,prior-season-only,False,False
tm_rel_height_pitch_type_adjusted_drift,rel_height,pitch_type_adjusted_drift,prior-season-only,False,False
tm_rel_side_longterm_mean,rel_side,longterm_mean,prior-season-only,False,False
tm_rel_side_recent1_mean,rel_side,recent1_mean,prior-season-only,False,False
tm_rel_side_recent1_minus_longterm,rel_side,recent1_minus_longterm,prior-season-only,False,False
tm_rel_side_slope,rel_side,slope,prior-season-only,False,False
tm_rel_side_recent_vs_old,rel_side,recent_vs_old,prior-season-only,False,False
tm_rel_side_abs_drift,rel_side,abs_drift,prior-season-only,False,False
tm_rel_side_drift_relative_league,rel_side,drift_relative_league,prior-season-only,False,False
tm_rel_side_pitch_type_adjusted_drift,rel_side,pitch_type_adjusted_drift,prior-season-only,False,False
tm_extension_longterm_mean,extension,longterm_mean,prior-season-only,False,False
tm_extension_recent1_mean,extension,recent1_mean,prior-season-only,False,False
tm_extension_recent1_minus_longterm,extension,recent1_minus_longterm,prior-season-only,False,False
tm_extension_slope,extension,slope,prior-season-only,False,False
tm_extension_recent_vs_old,extension,recent_vs_old,prior-season-only,False,False
tm_extension_abs_drift,extension,abs_drift,prior-season-only,False,False
tm_extension_drift_relative_league,extension,drift_relative_league,prior-season-only,False,False
tm_extension_pitch_type_adjusted_drift,extension,pitch_type_adjusted_drift,prior-season-only,False,False
tm_rel_speed_longterm_mean,rel_speed,longterm_mean,prior-season-only,False,False
tm_rel_speed_recent1_mean,rel_speed,recent1_mean,prior-season-only,False,False
tm_rel_speed_recent1_minus_longterm,rel_speed,recent1_minus_longterm,prior-season-only,False,False
tm_rel_speed_slope,rel_speed,slope,prior-season-only,False,False
tm_rel_speed_recent_vs_old,rel_speed,recent_vs_old,prior-season-only,False,False
tm_rel_speed_abs_drift,rel_speed,abs_drift,prior-season-only,False,False
tm_rel_speed_drift_relative_league,rel_speed,drift_relative_league,prior-season-only,False,False
tm_rel_speed_pitch_type_adjusted_drift,rel_speed,pitch_type_adjusted_drift,prior-season-only,False,False
tm_spin_rate_longterm_mean,spin_rate,longterm_mean,prior-season-only,False,False
tm_spin_rate_recent1_mean,spin_rate,recent1_mean,prior-season-only,False,False
tm_spin_rate_recent1_minus_longterm,spin_rate,recent1_minus_longterm,prior-season-only,False,False
tm_spin_rate_slope,spin_rate,slope,prior-season-only,False,False
tm_spin_rate_recent_vs_old,spin_rate,recent_vs_old,prior-season-only,False,False
tm_spin_rate_abs_drift,spin_rate,abs_drift,prior-season-only,False,False
tm_spin_rate_drift_relative_league,spin_rate,drift_relative_league,prior-season-only,False,False
tm_spin_rate_pitch_type_adjusted_drift,spin_rate,pitch_type_adjusted_drift,prior-season-only,False,False
tm_induced_vert_break_longterm_mean,induced_vert_break,longterm_mean,prior-season-only,False,False
tm_induced_vert_break_recent1_mean,induced_vert_break,recent1_mean,prior-season-only,False,False
tm_induced_vert_break_recent1_minus_longterm,induced_vert_break,recent1_minus_longterm,prior-season-only,False,False
tm_induced_vert_break_slope,induced_vert_break,slope,prior-season-only,False,False
tm_induced_vert_break_recent_vs_old,induced_vert_break,recent_vs_old,prior-season-only,False,False
tm_induced_vert_break_abs_drift,induced_vert_break,abs_drift,prior-season-only,False,False
tm_induced_vert_break_drift_relative_league,induced_vert_break,drift_relative_league,prior-season-only,False,False
tm_induced_vert_break_pitch_type_adjusted_drift,induced_vert_break,pitch_type_adjusted_drift,prior-season-only,False,False
tm_horz_break_longterm_mean,horz_break,longterm_mean,prior-season-only,False,False
tm_horz_break_recent1_mean,horz_break,recent1_mean,prior-season-only,False,False
tm_horz_break_recent1_minus_longterm,horz_break,recent1_minus_longterm,prior-season-only,False,False
tm_horz_break_slope,horz_break,slope,prior-season-only,False,False
tm_horz_break_recent_vs_old,horz_break,recent_vs_old,prior-season-only,False,False
tm_horz_break_abs_drift,horz_break,abs_drift,prior-season-only,False,False
tm_horz_break_drift_relative_league,horz_break,drift_relative_league,prior-season-only,False,False
tm_horz_break_pitch_type_adjusted_drift,horz_break,pitch_type_adjusted_drift,prior-season-only,False,False
