column,policy,affected_row_rate,median_abs_pitcher_mean_change_vs_raw,median_abs_pitcher_std_change_vs_raw
rel_height,raw,0.0,0.0,0.0
rel_height,global_1_99_winsorization,0.019914359553795207,0.0,0.0
rel_height,mad_6sigma_flag_only,0.03402975219148303,,
rel_side,raw,0.0,0.0,0.0
rel_side,global_1_99_winsorization,0.019915474954240696,0.0,0.0
rel_side,mad_6sigma_flag_only,1.115400445490938e-06,,
extension,raw,0.0,0.0,0.0
extension,global_1_99_winsorization,0.01991268645312697,1.6085389918929494e-06,5.2919078858126856e-06
extension,mad_6sigma_flag_only,5.01930200470922e-06,,
rel_speed,raw,0.0,0.0,0.0
rel_speed,global_1_99_winsorization,0.019909897952013242,0.0013639585047044989,0.0042047833203175955
rel_speed,mad_6sigma_flag_only,3.903901559218282e-06,,
spin_rate,raw,0.0,0.0,0.0
spin_rate,global_1_99_winsorization,0.019861378032634387,0.013928022632171633,0.04611317647183455
spin_rate,mad_6sigma_flag_only,0.004221232985960455,,
induced_vert_break,raw,0.0,0.0,0.0
induced_vert_break,global_1_99_winsorization,0.019888705343548915,0.008662181672006497,0.02663008029420766
induced_vert_break,mad_6sigma_flag_only,0.0,,
horz_break,raw,0.0,0.0,0.0
horz_break,global_1_99_winsorization,0.019884801441989695,0.0005989182151182604,0.001938675952750657
horz_break,mad_6sigma_flag_only,0.0,,
