pitcher_trackman_id,total_pitches,total_games,first_date,last_date,active_seasons,pitches_2019,pitches_2020,pitches_2021,pitches_2022,pitches_2023,pitches_2024,games_2019,games_2020,games_2021,games_2022,games_2023,games_2024
50008,30,2,2022-10-01,2022-10-06,1,0,0,0,30,0,0,0,0,0,2,0,0
50010,986,15,2020-05-24,2021-09-11,2,0,149,837,0,0,0,0,3,12,0,0,0
50030,7449,95,2020-05-08,2024-10-11,5,0,2306,1958,2578,287,320,0,28,22,28,4,13
50036,2246,108,2020-05-22,2024-09-14,5,0,440,693,811,17,285,0,18,38,32,1,19
50094,301,14,2022-09-03,2023-06-14,2,0,0,0,166,135,0,0,0,0,7,7,0
50105,299,8,2020-05-13,2024-05-24,3,0,69,199,0,0,31,0,3,4,0,0,1
50106,2928,147,2020-05-06,2024-10-15,4,0,363,0,256,1153,1156,0,8,0,9,65,65
50107,715,32,2020-06-16,2024-08-14,3,0,60,159,0,0,496,0,3,4,0,0,25
50109,2319,80,2020-05-07,2024-10-05,4,0,659,0,60,564,1036,0,15,0,2,14,49
50112,50,1,2020-05-13,2020-05-13,1,0,50,0,0,0,0,0,1,0,0,0,0
50114,579,35,2020-05-13,2024-07-24,3,0,290,228,0,0,61,0,18,14,0,0,3
50126,6405,82,2020-05-06,2023-09-19,4,0,1678,2018,1851,858,0,0,20,26,23,13,0
50157,5783,111,2020-05-05,2024-04-26,5,0,1295,1267,1783,1214,224,0,26,40,23,18,4
50203,2253,104,2020-05-23,2024-10-04,4,0,465,795,306,0,687,0,27,46,14,0,17
50204,15,1,2020-10-22,2020-10-22,1,0,15,0,0,0,0,0,1,0,0,0,0
50205,2397,63,2020-05-14,2022-10-02,3,0,364,542,1491,0,0,0,18,18,27,0,0
50206,2266,75,2020-08-19,2024-09-28,4,0,153,356,0,936,821,0,7,13,0,17,38
50211,1084,29,2020-07-17,2024-04-30,3,0,289,0,0,619,176,0,13,0,0,14,2
50262,1207,32,2020-07-17,2024-10-03,3,0,439,0,0,16,752,0,16,0,0,1,15
50294,289,9,2022-04-28,2022-06-25,1,0,0,0,289,0,0,0,0,0,9,0,0
50296,2119,45,2020-05-14,2024-10-04,3,0,376,985,0,0,758,0,11,17,0,0,17
50298,1126,50,2020-06-12,2024-06-25,3,0,577,305,0,0,244,0,23,19,0,0,8
50354,3482,66,2020-06-23,2024-09-13,5,0,225,339,498,761,1659,0,6,6,9,20,25
50360,4642,176,2020-05-13,2024-09-30,5,0,527,1362,667,1061,1025,0,17,40,38,45,36
50393,2267,104,2020-10-10,2024-09-28,5,0,65,235,107,813,1047,0,4,10,6,30,54
50395,209,9,2020-05-28,2022-10-01,3,0,134,38,37,0,0,0,5,2,2,0,0
50397,658,34,2020-07-03,2022-10-02,3,0,210,263,185,0,0,0,12,12,10,0,0
50411,1773,62,2020-07-11,2024-07-25,5,0,73,620,587,345,148,0,5,13,32,5,7
50412,354,16,2020-05-27,2021-05-23,2,0,193,161,0,0,0,0,9,7,0,0,0
50413,957,23,2020-05-23,2023-09-09,2,0,483,0,0,474,0,0,9,0,0,14,0
50430,1513,58,2020-05-16,2024-10-01,4,0,458,168,0,101,786,0,18,5,0,6,29
50441,4150,65,2020-05-08,2024-10-17,5,0,301,275,1677,891,1006,0,5,5,22,12,21
50449,5449,73,2020-05-08,2024-08-20,5,0,1459,1004,1510,911,565,0,19,11,19,16,8
50464,4632,77,2020-05-23,2024-10-05,5,0,1042,1357,393,616,1224,0,14,17,7,7,32
50556,3667,218,2020-05-08,2024-06-02,5,0,631,692,1051,828,465,0,40,39,64,46,29
50563,558,35,2020-05-08,2021-07-11,2,0,236,322,0,0,0,0,14,21,0,0,0
50573,837,28,2020-05-23,2022-10-06,2,0,219,0,618,0,0,0,14,0,14,0,0
